,Compound name,Compound name_ori,Ratio,Tumor vs Normal_p.value
488,Sarcosine,sarcosine,2.6522,0.0000297588 
489,myo-Inositol,scyllo-inositol,0.2372,0.0000000000 
490,Sedoheptulose 7-phosphate,sedoheptulose 7-phosphate,1.526,0.0000057068 
491,L-Serine,serine,0.3396,0.0000000000 
492,serylisoleucine,serylisoleucine,1.3465,0.0683288603 
493,serylleucine,serylleucine,4.2551,0.0000000006 
495,serylvaline,serylvaline,1.7443,0.0000031952 
496,S-methylcysteine,S-methylcysteine,0.8273,0.0021577002 
497,D-Sorbitol,sorbitol,2.6761,0.0025450779 
498,Sorbitol 6-phosphate,sorbitol 6-phosphate,1.4283,0.0000126632 
499,Spermidine,spermidine,1.6922,0.0000000000 
500,Spermine,spermine,0.6775,0.4918928001 
501,sphinganine,sphinganine,1.4664,0.0017190601 
502,sphingosine,sphingosine,2.2262,0.0000021137 
503,Squalene,squalene,0.793,0.0377725584 
504,stachydrine,stachydrine,1.2972,0.0829703813 
505,Octadecanoic acid,stearate,1.3068,0.0000000000 
506,Stearidonic acid,stearidonate,1.9904,0.0000000011 
507,stearoylcarnitine,stearoylcarnitine,1.0967,0.6376632360 
508,Streptomycin sulfate,streptomycin,1.1531,0.2928932185 
509,Succinate,succinate,2.0186,0.0000000160 
510,succinylcarnitine,succinylcarnitine,1.004,0.9703696559 
511,Tartaric acid,tartarate,0.1343,0.1377235408 
512,Taurine,taurine,1.0944,0.1752398406 
513,Testosterone,testosterone,1.0152,0.8356654044 
514,Theobromine,theobromine,0.8599,0.0858380910 
515,Threitol,threitol,0.7387,0.4563462662 
516,Threonate,threonate,1.7891,0.0000126148 
517,L-Threonine,threonine,0.3929,0.0000000000 
519,threonylleucine,threonylleucine,3.1228,0.0000002007 
520,threonylmethionine,threonylmethionine,1.8034,0.0000777776 
521,threonylphenylalanine,threonylphenylalanine,4.1684,0.0000002656 
522,threonylvaline,threonylvaline,1.5494,0.0154266980 
523,Thymidine,thymidine,0.9981,0.9925505287 
524,Thymine,thymine,0.8041,0.5430553302 
525,Hydroxyproline,trans-4-hydroxyproline,1.0487,0.7615717086 
526,trans-urocanate,trans-urocanate,0.6713,0.0000000001 
527,triethyleneglycol,triethyleneglycol,0.8841,0.2574054984 
528,trigonelline,trigonelline,0.4306,0.0000000119 
529,L-Tryptophan,tryptophan,0.3098,0.0000000000 
530,tryptophan betaine,tryptophan betaine,2.1907,0.0000000607 
531,tryptophylasparagine,tryptophylasparagine,2.078,0.0000002751 
532,Trp-Glu,tryptophylglutamate,1.66,0.0000088446 
533,tryptophylleucine,tryptophylleucine,1.5703,0.0090886073 
534,L-Tyrosine,tyrosine,0.5087,0.0000000000 
535,tyrosylalanine,tyrosylalanine,2.0605,0.0000002436 
536,tyrosylglutamine,tyrosylglutamine,1.967,0.0000000020 
537,tyrosylglycine,tyrosylglycine,1.3591,0.0110559696 
538,tyrosylhistidine,tyrosylhistidine,1.8556,0.0001789780 
539,tyrosylleucine,tyrosylleucine,3.6297,0.0000000018 
540,lysyltyrosine,tyrosyllysine,2.6367,0.0186884999 
541,tyrosylphenylalanine,tyrosylphenylalanine,1.7576,0.0000016427 
542,tyrosyltyrosine,tyrosyltyrosine,1.685,0.0018519783 
543,tyrosylvaline,tyrosylvaline,2.1111,0.0000041444 
544,undecanedioate,undecanedioate,1.2526,0.0000170669 
545,Uracil,uracil,0.6721,0.0000070210 
546,Urate,urate,0.7445,0.0000011841 
547,Urea,urea,0.5245,0.0000000000 
548,Uridine,uridine,0.8996,0.0163500022 
549,UMP,uridine monophosphate,2.7754,0.0000000000 
550,valerylcarnitine,valerylcarnitine,0.6101,0.0000001084 
551,Val,valine,0.5469,0.0000000000 
552,valylalanine,valylalanine,1.8008,0.0009206604 
553,valylarginine,valylarginine,1.7081,0.0000330257 
554,valylasparagine,valylasparagine,1.6378,0.0057442915 
555,Val-Asp,valylaspartate,1.4029,0.0059824534 
556,valylglutamate,valylglutamate,1.8444,0.0000136238 
557,valylglutamine,valylglutamine,1.7246,0.0005004369 
558,valylglycine,valylglycine,0.8932,0.3293099119 
559,valylhistidine,valylhistidine,1.0191,0.8807911004 
560,valylisoleucine,valylisoleucine,2.2102,0.0000771310 
561,valylleucine,valylleucine,4.1137,0.0000058156 
562,valyllysine,valyllysine,1.3025,0.0752555939 
563,valylmethionine,valylmethionine,3.7477,0.0000051282 
564,valylphenylalanine,valylphenylalanine,3.7486,0.0000010437 
565,valylserine,valylserine,2.035,0.0000943436 
566,valyltryptophan,valyltryptophan,3.2007,0.0000031763 
567,valyltyrosine,valyltyrosine,3.2382,0.0000003208 
568,valylvaline,valylvaline,2.0477,0.0001862354 
569,Vanillylmandelic acid,vanillylmandelate,0.2527,0.0000000292 
570,venlafaxine,venlafaxine,0.6931,
572,Xanthine,xanthine,0.6617,0
573,Xanthosine,xanthosine,0.6022,0
574,Xylitol,xylitol,0.5469,0
575,xylonate,xylonate,0.8965,0.447317699
576,D-Xylose,xylose,0.2553,0.000001494
577,Xylulose,xylulose,1.6961,4E-10
