,Compound name,Compound name_ori,Ratio,Tumor vs Normal_p.value
119,Ac-Ser-Asp-Lys-Pro-OH,Ac-Ser-Asp-Lys-Pro-OH,1.5147,0.0000220624 
120,Adenine,adenine,1.5841,0.0002283264 
121,Adenosine,adenosine,0.646,0.0000727519 
123,3'-AMP,adenosine 3'-monophosphate,0.4923,0.0000000000 
124,AMP,adenosine 5'-monophosphate,1.8901,0.0000001427 
125,"N6-(1,2-dicarboxyethyl)-AMP",adenylosuccinate,0.9532,0.6257535256 
126,adipate,adipate,0.4245,0.0058474050 
127,Adrenic acid,adrenate,1.1344,0.0233876668 
128,Agmatine,agmatine,1.5632,0.0195237218 
129,L-alanine,alanine,0.7558,0.0000027071 
130,alanylalanine,alanylalanine,1.2979,0.0182114581 
131,alanylglutamate,alanylglutamate,1.8296,0.0000043042 
132,alanylglycine,alanylglycine,1.3007,0.0080554411 
133,alanylisoleucine,alanylisoleucine,1.6513,0.0058885011 
134,alanylleucine,alanylleucine,4.5864,0.0000003374 
135,alanylmethionine,alanylmethionine,2.3038,0.0000005141 
136,alanylphenylalanine,alanylphenylalanine,3.7019,0.0000001319 
137,Ala-THR,alanylthreonine,1.7882,0.0126828946 
138,alanyltryptophan,alanyltryptophan,1.5588,0.0102821937 
139,alanyltyrosine,alanyltyrosine,2.23,0.0000000024 
140,alanylvaline,alanylvaline,1.4668,0.0161773064 
141,allo-threonine,allo-threonine,0.6826,0.0001856816 
142,Glu-Glu,alpha-glutamylglutamate,1.7656,0.0000084707 
143,alpha-glutamyltryptophan,alpha-glutamyltryptophan,1.6754,0.0060222270 
144,alpha-glutamyltyrosine,alpha-glutamyltyrosine,1.9829,0.0000003228 
145,2-Hydroxy-3-methylbutyric acid,alpha-hydroxyisovalerate,1.0748,0.3379405434 
146,alpha-Tocopherol,alpha-tocopherol,8.9453,0.0000000000 
147,androsterone sulfate,androsterone sulfate,0.7526,0.0206474916 
148,anserine,anserine,1.0084,0.9846666004 
149,D-Arabitol,arabitol,0.3702,0.0000000000 
151,Icosanoic acid,arachidate,2.3026,0.0000000000 
