,Cancer_Current Smoker vs Cancer_Former Smoker,Cancer_Current Smoker vs Cancer_Non-Smoker,Cancer_Former Smoker vs Cancer_Non-Smoker
refmet_name,ratio,ratio,ratio
5-Methylcytosine,1.067627679,4.205909622,3.939490991
5-Methylcytosine,1.023622379,5.986820759,5.848661463
1-Methylguanosine,0.649363735,3.433670673,5.287746279
N-Methylhistidine,1.162043637,6.482824525,5.578813326
Methylmalonic acid,1.169287218,6.293580189,5.382407413
Methylmalonic acid,0.675947157,3.784144619,5.598284684
1-Methyladenine,0.871293605,2.407728896,2.763395578
1-Methyl nicotinamide,0.716489842,0.598356804,0.835122523
Methyl pyruvate,1.118814584,5.044721294,4.508987785
Methylsuccinic acid,1.114954291,31.11947163,27.91098423
Methylsuccinic acid,0.780896591,3.326867859,4.26031807
Methylcysteine,1.045873744,4.710004111,4.503415577
Methylglutaric acid,1.036194571,1.053337747,1.016544361
Myristoleic acid,1.265269896,1.109380348,0.876793443
N-Acetylglutamine,0.720382229,0.831368357,1.154065611
N-Acetylglutamine,0.757994867,0.855458975,1.128581488
N-Acetylalanine,1.780385946,1.093247194,0.614050676
N-Acetyl-D-glucosamine,0.913104771,0.941221421,1.030792359
N-Acetylornithine,0.720940872,1.220013115,1.692251281
N-Acetylputrescine,1.560332025,1.203709811,0.771444661
Methylsuccinic acid,1.063210811,1.801366434,1.694270239
Carbamoylaspartate,0.733002941,0.891031643,1.215590816
N-Methylalanine,0.89146681,2.392785676,2.684099564
Dimethylglycine,0.889594059,2.348207458,2.63963932
N-Acetyl-D-glucosamine,1.471540373,3.282045729,2.230347049
Dimethylarginine,0.650282425,0.987239069,1.518169691
Niacinamide,1.088720752,1.284432646,1.17976317
Nicotinamide ribotide,0.709839418,0.988480128,1.392540486
Xi-Norepinephrine,1.130789927,1.113579483,0.984780158
Dimethylarginine,1.0319237,4.449443387,4.311794938
Dimethylglycine,1.577813688,3.484434641,2.208394228
Caprylic acid,1.202196829,0.889050727,0.73952177
Nicotinamide ribotide,1.225986079,0.862266918,0.703325211
P-Aminobenzoic acid,0.778493403,1.390535556,1.786187977
4-Hydroxycinnamic acid,1.003880251,1.277727327,1.272788587
Xi-Norepinephrine,0.871244709,0.929731771,1.067130466
Dimethylarginine,1.028627235,4.80091745,4.6673054
Phe-Glu,1.872372519,1.548994232,0.827289557
Phenol,0.75261983,3.214201412,4.27068393
Phenylalanine,1.457406838,1.289135584,0.884540645
Choline phosphate,1.232729764,1.203609745,0.976377614
CAR 3:0,1.254411353,0.626136503,0.499147669
Putrescine,0.633595514,0.659396469,1.040721492
Pyrene,1.27276417,8.44958676,6.638768565
S-Adenosylmethionine,1.503009712,0.116097244,0.077243176
5'-Methylthioadenosine,1.126354892,5.325995008,4.728522998
S-Adenosylhomocysteine,1.011840231,5.488028643,5.423809486
Shikimic acid,0.578652498,0.471144752,0.814210176
sn-Glycero-3-phosphate,0.875848649,1.241897811,1.417936548
Spermine,0.702353291,1.084260636,1.543753906
Succinic acid,0.728336826,0.935906832,1.284991777
Taurine,0.957558047,1.214061985,1.267872991
Trehalose 6-phosphate,0.841789637,0.825804361,0.981010367
Tryptophan,1.478803456,1.450869364,0.981110342
Tyrosine,1.913530861,1.348444731,0.704689304
UDP-glucose,0.888231592,0.690275749,0.777134878
UDP-glucuronic acid,0.634930523,0.565162253,0.890116686
UDP-N-acetylglucosamine,0.945884064,0.699498247,0.739517953
UMP,1.309674312,0.8486683,0.647999501
Uracil,0.93692004,1.350070841,1.44096698
Uric acid,0.754855868,1.075063248,1.424196716
