,DCIS_pool.aliquot_no vs Basal_pool.aliquot_yes,DCIS_pool.aliquot_yes vs Basal_pool.aliquot_yes,HER2_pool.aliquot_no vs Basal_pool.aliquot_yes,HER2_pool.aliquot_yes vs Basal_pool.aliquot_yes,LumA_pool.aliquot_no vs Basal_pool.aliquot_yes,LumA_pool.aliquot_yes vs Basal_pool.aliquot_yes,LumB_pool.aliquot_no vs Basal_pool.aliquot_yes,LumB_pool.aliquot_yes vs Basal_pool.aliquot_yes,Reduction_pool.aliquot_no vs Basal_pool.aliquot_yes,Reduction_pool.aliquot_yes vs Basal_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs Basal_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs Basal_pool.aliquot_yes,DCIS_pool.aliquot_yes vs DCIS_pool.aliquot_no,HER2_pool.aliquot_no vs DCIS_pool.aliquot_no,HER2_pool.aliquot_yes vs DCIS_pool.aliquot_no,LumA_pool.aliquot_no vs DCIS_pool.aliquot_no,LumA_pool.aliquot_yes vs DCIS_pool.aliquot_no,LumB_pool.aliquot_no vs DCIS_pool.aliquot_no,LumB_pool.aliquot_yes vs DCIS_pool.aliquot_no,Reduction_pool.aliquot_no vs DCIS_pool.aliquot_no,Reduction_pool.aliquot_yes vs DCIS_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs DCIS_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs DCIS_pool.aliquot_no,HER2_pool.aliquot_no vs DCIS_pool.aliquot_yes,HER2_pool.aliquot_yes vs DCIS_pool.aliquot_yes,LumA_pool.aliquot_no vs DCIS_pool.aliquot_yes,LumA_pool.aliquot_yes vs DCIS_pool.aliquot_yes,LumB_pool.aliquot_no vs DCIS_pool.aliquot_yes,LumB_pool.aliquot_yes vs DCIS_pool.aliquot_yes,Reduction_pool.aliquot_no vs DCIS_pool.aliquot_yes,Reduction_pool.aliquot_yes vs DCIS_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs DCIS_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs DCIS_pool.aliquot_yes,HER2_pool.aliquot_yes vs HER2_pool.aliquot_no,LumA_pool.aliquot_no vs HER2_pool.aliquot_no,LumA_pool.aliquot_yes vs HER2_pool.aliquot_no,LumB_pool.aliquot_no vs HER2_pool.aliquot_no,LumB_pool.aliquot_yes vs HER2_pool.aliquot_no,Reduction_pool.aliquot_no vs HER2_pool.aliquot_no,Reduction_pool.aliquot_yes vs HER2_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs HER2_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs HER2_pool.aliquot_no,LumA_pool.aliquot_no vs HER2_pool.aliquot_yes,LumA_pool.aliquot_yes vs HER2_pool.aliquot_yes,LumB_pool.aliquot_no vs HER2_pool.aliquot_yes,LumB_pool.aliquot_yes vs HER2_pool.aliquot_yes,Reduction_pool.aliquot_no vs HER2_pool.aliquot_yes,Reduction_pool.aliquot_yes vs HER2_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs HER2_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs HER2_pool.aliquot_yes,LumA_pool.aliquot_yes vs LumA_pool.aliquot_no,LumB_pool.aliquot_no vs LumA_pool.aliquot_no,LumB_pool.aliquot_yes vs LumA_pool.aliquot_no,Reduction_pool.aliquot_no vs LumA_pool.aliquot_no,Reduction_pool.aliquot_yes vs LumA_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs LumA_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs LumA_pool.aliquot_no,LumB_pool.aliquot_no vs LumA_pool.aliquot_yes,LumB_pool.aliquot_yes vs LumA_pool.aliquot_yes,Reduction_pool.aliquot_no vs LumA_pool.aliquot_yes,Reduction_pool.aliquot_yes vs LumA_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs LumA_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs LumA_pool.aliquot_yes,LumB_pool.aliquot_yes vs LumB_pool.aliquot_no,Reduction_pool.aliquot_no vs LumB_pool.aliquot_no,Reduction_pool.aliquot_yes vs LumB_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs LumB_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs LumB_pool.aliquot_no,Reduction_pool.aliquot_no vs LumB_pool.aliquot_yes,Reduction_pool.aliquot_yes vs LumB_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs LumB_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs LumB_pool.aliquot_yes,Reduction_pool.aliquot_yes vs Reduction_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs Reduction_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs Reduction_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs Reduction_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs Reduction_pool.aliquot_yes,Total Pool2_pool aliquot_yes vs Total.Pool1_pool.aliquot.ye
Benzoic acid,0.726852527,0.978837362,0.868018137,0.937242448,0.876871965,0.868507135,0.910719515,0.910426654,0.835668229,0.881330383,0.860096533,0.847306606,1.34667945,1.194214926,1.28945338,1.206395977,1.194887686,1.252963264,1.252560347,1.149708087,1.212529846,1.183316423,1.165720107,0.886784844,0.957505797,0.895830093,0.887284414,0.930409434,0.930110241,0.853735525,0.900384903,0.878691973,0.865625526,1.079749844,1.010200049,1.000563349,1.049194108,1.048856717,0.962731299,1.015336368,0.990873918,0.976139287,0.935587122,0.926662185,0.971701097,0.971388626,0.891624393,0.940344075,0.91768841,0.904042073,0.990460603,1.038600334,1.03826635,0.953010545,1.005084458,0.980869006,0.966283152,1.048603378,1.048266177,0.96218925,1.014764701,0.990316024,0.975589689,0.999678429,0.917591217,0.967729766,0.944414299,0.930370538,0.917886383,0.96804106,0.944718093,0.930669815,1.054641487,1.02923206,1.013927031,0.975907048,0.96139498,0.985129661
3-Hydroxybutyric acid,0.462007948,0.723612176,0.897337819,1.476980955,0.576046335,0.703489249,0.507723551,0.347802357,0.257360607,0.454093941,0.577735785,0.584732105,1.566233176,1.942256238,3.196873477,1.246832089,1.522677806,1.098949819,0.752806004,0.557048009,0.98287041,1.250488844,1.265632134,1.24008115,2.041122309,0.796070539,0.972191006,0.701651476,0.480647464,0.355660969,0.627537729,0.798405284,0.808073889,1.645958661,0.641950359,0.783973698,0.565810936,0.387593557,0.286804592,0.506045696,0.643833094,0.651629846,0.390016089,0.47630218,0.343757683,0.235481951,0.17424775,0.307447391,0.391159942,0.395896848,1.221237262,0.881393597,0.603774968,0.446770671,0.788294124,1.002932837,1.015078249,0.721721834,0.494396123,0.365834457,0.645488104,0.821243233,0.831188403,0.685023093,0.506891215,0.89437242,1.137894399,1.151674182,0.739962229,1.305609153,1.661103707,1.6812195,1.764426753,2.24484932,2.272034212,1.272282522,1.287689732,1.012109896
Caprylic acid,0.711522964,0.836891407,0.864952839,1.000779259,0.782779511,0.648570547,0.827173401,0.768332873,0.738091141,0.745541991,0.663668685,0.612988457,1.176197326,1.215635872,1.406531215,1.100146518,0.911524406,1.16253929,1.079842693,1.037339873,1.047811566,0.932743873,0.861516056,1.033530553,1.195829292,0.935341796,0.774975752,0.988387973,0.918079534,0.881943744,0.890846751,0.793016489,0.732458778,1.157033325,0.904996754,0.749833422,0.956321969,0.888294528,0.853331081,0.86194525,0.767288869,0.708695815,0.782169999,0.648065537,0.826529321,0.767734609,0.737516425,0.744961473,0.663151918,0.612511153,0.82854819,1.056713148,0.981544435,0.942910654,0.952429107,0.847836045,0.783092107,1.275379224,1.18465582,1.138027534,1.149515645,1.023279099,0.945137672,0.928865546,0.892305216,0.90131282,0.802333204,0.741064034,0.960639804,0.970337228,0.863777548,0.797816257,1.010094756,0.899169017,0.830505101,0.890182838,0.822205141,0.923636252
Chlorogenic acid,0.985542169,1.228915663,1.045180723,0.972891566,1.020429544,0.897590361,1.035542169,1.222891566,1.03253012,1.047138554,0.95524957,1.012801205,1.246943765,1.060513447,0.987163814,1.035399171,0.910757946,1.050733496,1.240831296,1.047677262,1.0625,0.969263011,1.027658924,0.850490196,0.791666667,0.830349531,0.730392157,0.842647059,0.995098039,0.840196078,0.852083333,0.777310924,0.824142157,0.930835735,0.976318757,0.858789625,0.990778098,1.170028818,0.987896254,1.001873199,0.913956361,0.969020173,1.048862566,0.922600619,1.064396285,1.256965944,1.06130031,1.076315789,0.981866431,1.041021672,0.879620123,1.014810062,1.198408624,1.011858316,1.026174281,0.936124963,0.992524384,1.153691275,1.362416107,1.15033557,1.166610738,1.064237776,1.128355705,1.180919139,0.997091332,1.011198371,0.922463226,0.978039558,0.844334975,0.856280788,0.781140042,0.82820197,1.014148191,0.925154192,0.980892649,0.91224754,0.967208399,1.060247748
Cholesterol,1.123380089,0.997654637,1.336241799,0.949206143,0.767351197,0.75086483,1.01945419,0.877338608,0.574745739,0.805600842,0.594501136,0.629247863,0.888082891,1.18948325,0.844955463,0.683073524,0.668397844,0.907488213,0.780981091,0.511621796,0.717122236,0.529207471,0.560137988,1.339383139,0.95143761,0.769155145,0.75263002,1.021850801,0.879401122,0.576096895,0.80749471,0.595898734,0.630727147,0.710355075,0.574260734,0.561922872,0.762926433,0.656571743,0.43012106,0.602885527,0.444905358,0.470908681,0.808413644,0.791045059,1.074007155,0.924286694,0.605501495,0.848710101,0.626314041,0.662920133,0.978515226,1.328536652,1.143333862,0.748999599,1.049846335,0.774744521,0.820025909,1.357706672,1.168437477,0.765445012,1.07289729,0.791755203,0.838030811,0.860596402,0.563777897,0.790227604,0.583156302,0.617239959,0.655101387,0.918232521,0.677618801,0.717223495,1.401664749,1.034372411,1.094828235,0.737959924,0.781091367,1.058446864
Citric acid,0.712223594,1.412746645,1.047503086,0.639183552,0.729002104,0.700516073,1.603744786,1.080887063,0.543493884,0.982160451,0.898616935,0.519628099,1.983571813,1.47075033,0.897447877,1.023557925,0.983562016,2.251743414,1.517623219,0.763094467,1.379005779,1.261706216,0.72958563,0.741465633,0.452440326,0.516017579,0.495853999,1.135196315,0.765096181,0.384707255,0.695213438,0.636077911,0.367814074,0.610197298,0.695942679,0.668748458,1.531016766,1.031870051,0.518847048,0.937620581,0.857865669,0.49606355,1.140520749,1.095954473,2.509052024,1.691043299,0.850293913,1.536585927,1.405882445,0.812955993,0.960924625,2.199917912,1.482694024,0.745531297,1.347266965,1.232667136,0.712793689,2.289376143,1.542986812,0.775847842,1.402052699,1.282792743,0.741778981,0.673976977,0.338890507,0.612416926,0.560324151,0.324009221,0.502822082,0.908661492,0.831369869,0.480742269,1.807123283,1.653407632,0.956088219,0.914939035,0.529066405,0.578253179
Creatine,0.989237877,1.534184199,1.067603949,0.749792269,1.299870954,0.890971738,0.773437033,0.846545019,0.736411075,0.811841216,1.327094284,0.755542261,1.550874906,1.079218632,0.757949414,1.314012519,0.900664803,0.781851414,0.855754758,0.744422643,0.820673404,1.341532017,0.763761961,0.695877294,0.488723759,0.847271765,0.580746261,0.504135705,0.551788384,0.480001733,0.529168021,0.865016264,0.492471674,0.702313128,1.217559148,0.834552681,0.724460633,0.792939199,0.689779272,0.760432946,1.243058613,0.707699013,1.733641447,1.188291443,1.031535086,1.129039408,0.982153464,1.08275485,1.769949276,1.00766878,0.685430915,0.595010628,0.651253124,0.566526294,0.62455524,1.020943102,0.581244052,0.868082566,0.950136782,0.82652574,0.911186272,1.489490887,0.84799801,1.094523515,0.952128025,1.049653924,1.715840111,0.976863311,0.869901845,0.959005366,1.567659431,0.892500982,1.102429396,1.802110709,1.02597895,1.634672221,0.930652751,0.569320711
Glutamic acid,3.202839603,2.611173122,2.657774305,2.112679987,0.464444304,0.414108717,2.609688581,1.358075678,0.678792276,1.265166313,1.220536412,0.858759348,0.815268151,0.82981811,0.659627159,0.145010167,0.129294242,0.814804644,0.424022382,0.211934521,0.395013947,0.381079468,0.268124369,1.017846838,0.809092269,0.177868063,0.158591062,0.999431466,0.520101738,0.259956826,0.484520273,0.467428376,0.328878748,0.794905716,0.174749339,0.15581034,0.981907522,0.510982319,0.255398765,0.476024736,0.459232528,0.323112217,0.219836562,0.196011095,1.235250297,0.642821292,0.321294413,0.598844274,0.577719494,0.406478669,0.89162191,5.618948402,2.924087271,1.461514911,2.724043123,2.627950005,1.849003939,6.301940701,3.279514825,1.63916442,3.055154987,2.947381594,2.073753369,0.520397601,0.260104704,0.484795896,0.467694276,0.329065833,0.499819183,0.931587491,0.898724888,0.632335415,1.863849013,1.79810003,1.265128344,0.964724083,0.678771905,0.703591749
Glycerol,0.580893009,0.906201244,0.792583531,0.988804578,0.858848787,0.839383666,0.659729595,0.64260354,0.848506762,0.747555891,0.827776172,0.805904802,1.560014029,1.364422567,1.702214629,1.478497371,1.444988409,1.135716189,1.106233902,1.460693705,1.286908051,1.425006255,1.387354967,0.874621985,1.091153411,0.947746201,0.926266291,0.728016651,0.709117919,0.936333698,0.82493364,0.913457333,0.889322109,1.247571441,1.083606652,1.059047574,0.832378632,0.810770745,1.070558154,0.943188776,1.044402438,1.016807403,0.868572826,0.848887317,0.667199171,0.649879212,0.858113707,0.756019852,0.837148402,0.8150294,0.977335799,0.768155705,0.748214994,0.98795827,0.870416192,0.963820622,0.938354707,0.785969065,0.765565934,1.010868804,0.890600951,0.986171409,0.960114945,0.974040796,1.286143244,1.133124686,1.254720386,1.221568363,1.320420304,1.163323642,1.288159993,1.254124435,0.88102526,0.97556815,0.949791844,1.107310079,1.078052908,0.973578159
Margaric acid,0.764896387,1.030669259,0.872550152,1.078503877,0.941679271,0.789352764,0.973940193,0.814837976,0.868065997,0.861549233,0.922103346,0.922129402,1.347462579,1.140742939,1.409999962,1.231120041,1.031973451,1.273296893,1.065291966,1.134880504,1.126360703,1.205527129,1.205561194,0.846585988,1.04641122,0.913658056,0.765864275,0.944959001,0.790591132,0.842235266,0.835912418,0.894664644,0.894689925,1.236036546,1.079226528,0.904650308,1.116199671,0.933858041,0.994860862,0.987392221,1.056791226,1.056821088,0.873134804,0.731896084,0.903047466,0.755526237,0.804879811,0.7988374,0.854983803,0.855007962,0.838239503,1.034258928,0.865303082,0.921827658,0.914907293,0.979211685,0.979239355,1.23384656,1.032286213,1.099718701,1.091462869,1.168176495,1.168209504,0.83664067,0.891292918,0.884601784,0.946776149,0.946802903,1.065323442,1.057325822,1.131640121,1.131672098,0.992492778,1.062250277,1.062280293,1.070285145,1.070315389,1.000028257
Isoleucine,1.698478987,1.506835443,1.666455696,1.325113924,1.746210237,0.690025316,1.386308861,0.892607595,0.817893671,0.946708861,0.955363472,0.886367089,0.887167551,0.981145901,0.780176813,1.028102349,0.406260732,0.816206071,0.525533493,0.481544769,0.557386266,0.562481773,0.52185932,1.10593078,0.879401882,1.15885928,0.457930108,0.920013441,0.592372312,0.542788978,0.62827621,0.634019777,0.588230847,0.795169009,1.047858782,0.414067603,0.831890619,0.535632359,0.490798329,0.568097227,0.573290652,0.531887581,1.317781215,0.520729051,1.046180887,0.673608192,0.617225173,0.714435826,0.720967046,0.668898781,0.395155922,0.793895736,0.511168459,0.46838213,0.542150562,0.547106787,0.507594716,2.009069563,1.293586733,1.185309657,1.371991488,1.384533943,1.284542853,0.643873541,0.589979401,0.682898947,0.689141864,0.639372014,0.916297011,1.060610358,1.070306232,0.993008679,1.157496255,1.168077839,1.083719217,1.009141788,0.936261532,0.927779965
Lauric acid,0.650352465,0.682627744,0.693208837,0.552154195,0.700987529,0.778680404,0.804376637,0.751227352,0.700898223,0.758795654,0.766182016,0.804391498,1.049627365,1.065897148,0.849007615,1.07785788,1.197320602,1.236831843,1.155108026,1.077720562,1.166745258,1.178102733,1.236854693,1.015500532,0.80886574,1.02689575,1.140710162,1.178353275,1.100493437,1.026764924,1.11158045,1.122400933,1.178375044,0.796519267,1.011221282,1.123298439,1.16036697,1.083695579,1.011092453,1.09461336,1.10526868,1.160388407,1.269550309,1.410258966,1.456797113,1.360539064,1.269388569,1.374245928,1.387623282,1.456824027,1.110833463,1.147490653,1.071670067,0.999872601,1.082466696,1.093003776,1.147511852,1.032999717,0.964744133,0.900110263,0.974463528,0.983949271,1.033018801,0.933924877,0.871355769,0.94333378,0.952516496,1.000018474,0.933004132,1.010074583,1.019906975,1.070769715,1.082604619,1.093143042,1.147658063,1.009734323,1.060089753,1.04986998
Linoleic acid,0.652452895,1.111213278,0.729233227,0.994467389,0.944225994,1.058957376,0.832478766,0.671394062,0.819761552,0.845647939,1.17841725,1.081528092,1.703131808,1.117679502,1.524197987,1.447194121,1.623040351,1.275921637,1.029030705,1.256430248,1.296105735,1.806133836,1.657633984,0.656249562,0.89493836,0.849725262,0.952974012,0.749162003,0.6041991,0.737717564,0.76101317,1.060478013,0.973285788,1.363716507,1.294820311,1.452151845,1.141580958,0.920684957,1.1241418,1.15963989,1.615967576,1.483103144,0.949479092,1.06484877,0.837110171,0.67512929,0.824322207,0.850352609,1.184973246,1.087545056,1.121508392,0.881652032,0.711052298,0.868183632,0.895599088,1.248024581,1.145412326,0.78613057,0.634014246,0.774121387,0.798566551,1.112808954,1.021314093,0.806499925,0.984723678,1.01581923,1.415552322,1.29916598,1.220984215,1.25954039,1.755179732,1.610869313,1.031577947,1.437512221,1.319320342,1.393508097,1.278934225,0.917780261
Lysine,0.649781282,1.17269143,0.931282424,1.501099813,0.687272301,0.280722142,0.75635609,0.840215812,0.650450301,0.631936086,0.747042955,0.676219133,1.804747938,1.433224454,2.310161671,1.057697905,0.432025589,1.164016433,1.293074816,1.001029606,0.972536611,1.149683709,1.040687306,0.794141067,1.280046716,0.58606406,0.239382786,0.644974519,0.716484994,0.554664496,0.538876699,0.637032843,0.57663859,1.611863142,0.73798483,0.3014361,0.812166182,0.902213755,0.698445804,0.67856546,0.802165848,0.726116069,0.457845837,0.187010976,0.503867953,0.559733473,0.433315823,0.420982056,0.497663745,0.450482457,0.408458396,1.100518804,1.222536994,0.946422983,0.919484294,1.086967937,0.983917338,2.694322886,2.993051449,2.317060911,2.251108811,2.66114725,2.408855707,1.110873335,0.859978929,0.835500757,0.987686837,0.894048638,0.774146703,0.752111633,0.889108422,0.804816004,0.971536312,1.148501206,1.039616911,1.182149542,1.070075198,0.905194444
Maleimide,0.481572778,0.982497558,0.665270881,1.007224845,0.387202158,0.218984044,0.828419082,0.895819766,0.438574569,0.595449365,0.698550961,0.449151335,2.040185001,1.3814545,2.091531939,0.804036639,0.454726792,1.720236526,1.860196023,0.910712958,1.236468074,1.450561562,0.932675923,0.677122173,1.025167785,0.394099868,0.222885077,0.843176734,0.911778109,0.446387439,0.60605684,0.710995111,0.457152622,1.514007113,0.582021803,0.329165233,1.245235746,1.346548889,0.659242094,0.895047991,1.050024856,0.67514053,0.384424748,0.217413267,0.822476814,0.889394031,0.435428664,0.591178194,0.69354024,0.445929563,0.565554814,2.139500169,2.313571213,1.132675942,1.537825535,1.804098833,1.159991819,3.783011152,4.090799257,2.002769517,2.719144981,3.189962825,2.051068773,1.081360612,0.529411476,0.718777945,0.843233788,0.542178886,0.489579026,0.66469773,0.779789627,0.501385828,1.357692415,1.592775803,1.024116233,1.173149224,0.754306514,0.64297576
Malic acid,0.760809023,1.108414901,0.929661384,0.644885885,0.587651342,0.495194119,0.687689089,0.710132031,0.457617662,0.587658225,0.813792014,0.655581876,1.456889794,1.221937905,0.847631752,0.772403223,0.650878347,0.903891867,0.933390653,0.601488216,0.772412271,1.069640328,0.861690459,0.8387305,0.581809108,0.530172719,0.446758807,0.620425698,0.64067348,0.412857732,0.530178929,0.7341944,0.591458916,0.693678254,0.632113318,0.532660738,0.739719968,0.763860954,0.492241229,0.632120722,0.875363899,0.705183508,0.911248571,0.767878675,1.066373299,1.101174716,0.709610293,0.911259245,1.261916305,1.016585866,0.842666534,1.170233164,1.208424079,0.778723079,1.000011714,1.384821162,1.115596664,1.388726284,1.434047789,0.924117723,1.186722949,1.643379802,1.323888655,1.032635304,0.665442668,0.854540569,1.183372002,0.953311441,0.644412083,0.827533753,1.14597283,0.92318308,1.284168585,1.778323,1.432597408,1.38480494,1.115583596,0.805588978
Myristic acid,0.771738921,0.973060656,0.897139046,1.061520715,0.925358766,0.832046311,0.938701977,0.822334903,0.86083822,0.863480353,0.91240622,0.893087731,1.26086767,1.162490347,1.375492003,1.199056754,1.078144808,1.216346553,1.065561008,1.115452643,1.118876253,1.182273168,1.157240754,0.921976489,1.090909091,0.950977476,0.85508165,0.964690096,0.845101381,0.884670668,0.887385948,0.937666336,0.917813012,1.183228753,1.031455235,0.927444095,1.046328304,0.916619232,0.959537123,0.962482188,1.017017622,0.995484183,0.871729353,0.783824846,0.884299254,0.774676266,0.810948112,0.813437119,0.859527475,0.841328594,0.899160781,1.0144195,0.888666032,0.930275101,0.933130353,0.986002676,0.96512592,1.128184771,0.988328284,1.034603733,1.037779197,1.096581052,1.073363008,0.876034059,0.917051674,0.919866341,0.971987108,0.951407106,1.046821941,1.050034906,1.109531185,1.086038945,1.003069256,1.059904403,1.037462918,1.056661239,1.034288422,0.978826878
N-Acetylaspartic acid,0.932223404,1.249933511,1.466805186,1.440824468,0.762650324,0.671409574,1.126981383,0.916090426,0.522672872,0.809288564,0.91080927,1.354803856,1.340808979,1.573448145,1.545578519,0.818098237,0.720223898,1.20891771,0.982694085,0.560673407,0.868127275,0.977028968,1.453303843,1.173506569,1.152720889,0.610152714,0.537156232,0.901633066,0.732911325,0.41816054,0.647465291,0.728686176,1.083900739,0.982287547,0.519939751,0.457736024,0.768323833,0.624548123,0.356334213,0.551735548,0.620947675,0.923642669,0.529315222,0.465989848,0.782178126,0.635809875,0.362759575,0.561684356,0.632144505,0.940297647,0.880363587,1.477717045,1.201193256,0.685337508,1.061152849,1.194268516,1.776441725,1.678530402,1.3644286,0.778470984,1.205357497,1.356562827,2.017850069,0.812870948,0.463781284,0.718102868,0.808184842,1.202152828,0.570547249,0.88341559,0.994235116,1.478897518,1.548365348,1.742599088,2.592068439,1.125444386,1.674067714,1.487472625
Stearyl alcohol,0.693614943,1.017226586,0.788281302,0.929047588,0.835553974,0.830660242,0.846320375,0.717840407,0.710962973,0.776445999,1.086283791,0.912844037,1.466558061,1.136482582,1.33942845,1.20463664,1.197581238,1.220158798,1.034926387,1.025011038,1.119419365,1.566119361,1.316067432,0.774931871,0.913314301,0.821403988,0.816593131,0.831988061,0.705683883,0.698922917,0.763296998,1.067887731,0.897385154,1.178573671,1.059969293,1.05376119,1.073627363,0.910639901,0.901915308,0.98498594,1.378040794,1.158018127,0.899366174,0.894098702,0.910954817,0.772662688,0.765260017,0.835744056,1.16924451,0.982558966,0.994143129,1.012885345,0.859119134,0.850888147,0.929258939,1.300076147,1.09250158,1.018852633,0.864180528,0.855901049,0.934733552,1.307735384,1.098937917,0.848189915,0.840063638,0.917437441,1.283537326,1.078603403,0.990419272,1.081641535,1.513266432,1.271653181,1.092104693,1.527904873,1.283954399,1.399046157,1.175669702,0.840336608
Oleic acid,0.60610586,1.084406322,0.862643593,1.064617052,0.918301818,1.047141761,0.813158295,0.68438445,0.75805835,0.825685714,1.098685515,1.032401244,1.789136839,1.423255657,1.756486982,1.515084871,1.727654905,1.341611011,1.129150031,1.25070289,1.362279709,1.812695749,1.703334867,0.795498492,0.981751057,0.846824479,0.96563598,0.749864953,0.631114404,0.699053791,0.761417282,1.013167752,0.952042812,1.234133147,1.064520533,1.213875312,0.942635291,0.793357135,0.878761931,0.957157418,1.273626239,1.196787702,0.862565385,0.983585374,0.76380356,0.642845658,0.712047913,0.775570626,1.032000674,0.969739534,1.140302394,0.885502216,0.745271801,0.825500217,0.899144157,1.19643182,1.124250462,0.776550344,0.653573829,0.723930969,0.788513786,1.049223282,0.985923093,0.841637421,0.932239583,1.01540588,1.351133625,1.269619027,1.107649875,1.20646475,1.605363061,1.508510668,1.089211291,1.449341617,1.36190208,1.330634037,1.25035619,0.939669477
Oxalic acid,0.632760639,0.868805597,0.938909942,0.649328702,0.73112338,0.641770764,1.206015535,0.626886002,0.604812101,0.7698711,0.790214464,0.786162465,1.373039887,1.483831143,1.026183777,1.155450158,1.014239389,1.905958527,0.990715861,0.955830789,1.216686141,1.248836314,1.242432631,1.080690486,0.747380893,0.841527015,0.738681664,1.388130487,0.721549221,0.69614204,0.886125853,0.909541176,0.904877303,0.691577193,0.778693831,0.683527498,1.284484785,0.667674261,0.644164124,0.819962667,0.841629669,0.837314028,1.125968061,0.988360381,1.857326699,0.965437073,0.931442116,1.185641567,1.216971406,1.210731117,0.877787226,1.649537641,0.85742847,0.827236711,1.052997512,1.080822314,1.07528016,1.879199869,0.97680673,0.942411426,1.199604506,1.231303307,1.224989528,0.519799275,0.501496111,0.63835919,0.655227433,0.651867611,0.964788014,1.22808788,1.260539336,1.254075643,1.272909553,1.306545393,1.299845794,1.026424376,1.021161159,0.99487228
Pyroglutamic acid,1.65454693,1.321394624,1.473252373,1.352327657,0.806284936,0.55602374,0.96520396,0.939272839,0.634981511,0.773870512,0.771282762,0.585819317,0.79864439,0.890426465,0.817340163,0.487314637,0.336058005,0.58336451,0.567691869,0.383779692,0.467723519,0.466159495,0.354066304,1.114922331,1.023409383,0.610177249,0.420785532,0.730443383,0.710819328,0.480538894,0.585646785,0.583688436,0.443334116,0.91791989,0.547282293,0.377412418,0.655151811,0.637550535,0.43100661,0.525280343,0.523523855,0.397636771,0.596220104,0.411160518,0.713735281,0.694560105,0.469547086,0.572250747,0.570337194,0.433193327,0.689611966,1.197100325,1.164939089,0.787539841,0.959797805,0.956588331,0.726566119,1.735904225,1.68926751,1.142004316,1.391794012,1.387139983,1.053586878,0.973134051,0.657872882,0.801768895,0.799087855,0.606938369,0.67603521,0.823903855,0.821148797,0.623694514,1.218729206,1.214653889,0.922576968,0.996656093,0.756999146,0.759538973
Palmitic acid,0.715577408,1.102305425,0.927880243,1.24366466,0.827822123,0.779665157,0.897073445,0.761674401,0.806236889,0.811162473,0.856088904,0.920184743,1.540441905,1.296687449,1.737987598,1.156858942,1.08956089,1.253635785,1.064419296,1.126694163,1.133577533,1.196361001,1.285933197,0.841763292,1.128239625,0.750991607,0.707304109,0.813815685,0.690983083,0.731409708,0.735878146,0.776634937,0.834782014,1.340328851,0.892164834,0.840264854,0.966798735,0.820875761,0.868901881,0.874210308,0.922628659,0.991706365,0.665631299,0.626909473,0.721314575,0.612443551,0.648275146,0.652235686,0.688359919,0.739897798,0.941826916,1.083654834,0.920094281,0.973925275,0.979875326,1.03414596,1.111573028,1.150588092,0.976925022,1.034080953,1.040398517,1.098021242,1.180230686,0.84906582,0.898741227,0.904231952,0.95431306,1.025762994,1.058505955,1.064972739,1.123956514,1.208107746,1.006109351,1.061832963,1.141332971,1.055385244,1.134402508,1.074870541
Palmitoleic acid,2.095760155,1.218137605,1.811772446,0.925812718,3.166223679,6.028859338,2.630541193,0.562071502,2.03352211,2.813748536,2.824179631,2.796035858,0.581239032,0.864494175,0.441755091,1.510775778,2.876693367,1.255172824,0.268194574,0.970302878,1.342590911,1.347568148,1.334139239,1.48732987,0.760023099,2.599233178,4.949243266,2.159477864,0.461418726,1.669369784,2.30987741,2.31844056,2.295336624,0.510998343,1.747583525,3.327602951,1.451915884,0.310232945,1.122393772,1.553036388,1.558793786,1.543259952,3.419939711,6.511964269,2.841331883,0.607111451,2.19647243,3.039220008,3.050486968,3.020087977,1.904116686,0.830813442,0.177521097,0.642254723,0.888676487,0.891970978,0.883082227,0.436324858,0.093230157,0.337297986,0.46671325,0.468443444,0.463775268,0.213671431,0.773043249,1.069646255,1.073611635,1.062912782,3.617906446,5.006033086,5.024591392,4.974519875,1.383682293,1.388811863,1.374971948,1.003707188,0.993704954,0.990034709
