,Day 90 vs Baseline
refmet_name,ratio
Coprocholic acid,1.02105652
Cholic acid,0.489082229
Deoxycholic acid,0.94218601
Hyocholic acid,1.076342282
Glycocholic acid,0.983071841
Glycochenodeoxycholic acid,0.91056701
Glycodeoxycholic acid,0.979876894
Glycohyodeoxycholic acid,1.019544924
Glycoursodeoxycholic acid,1.024482109
Hyodeoxycholic acid,0.748435874
Tauromuricholic acid,0.843307314
Tauroursodeoxycholic acid,0.897134238
Taurochenodeoxycholic acid,0.500285307
Taurocholic acid,0.904122723
Taurodeoxycholic acid,0.619459624
Taurolithocholic acid,0.20287062
omega-Muricholic acid,1.042898342
