,A2780 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_Untreated vs A2780 cell_Untreated,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_Untreated vs A2780 cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_Untreated vs A2780cisR cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_0.015 ?M DiRu-1
metabolite_identification,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
unknown,0.95684807,0.945362441,1.107449292,1.187812098,1.135819751,0.470689178,0.452288586,0.510946827,0.987996392,1.157393035,1.241380043,1.187042945,0.491916317,0.472685895,0.533989505,1.171454718,1.256462122,1.201464859,0.497892827,0.478428766,0.540477181,1.072565676,1.025617841,0.425020976,0.408405685,0.461372662,0.956228475,0.396265688,0.380774524,0.430157959,0.414404819,0.398204544,0.449848514,0.960907127,1.085529158,1.129692066
GSH,1.007265017,0.979507495,2.098374029,2.836539035,2.834008977,2.149390766,2.66866057,2.235497382,0.972442682,2.08323926,2.816080164,2.813568355,2.133888033,2.649412542,2.219373595,2.142274602,2.895882931,2.893299941,2.194358672,2.724492241,2.282266745,1.351779519,1.350573796,1.024312509,1.271775448,1.065347432,0.999108048,0.757751168,0.94081574,0.788107392,0.758427649,0.941655652,0.788810974,1.241589297,1.040060941,0.83768517
GSH,1.151650762,1.14420273,2.555575552,3.160571039,3.036536837,3.748738244,4.262754739,4.226441687,0.993532733,2.219054279,2.74438323,2.636682001,3.255099868,3.70143005,3.669898745,2.233498912,2.76224742,2.653845126,3.276288499,3.725524007,3.693787453,1.236735512,1.18820077,1.466886096,1.668021411,1.653812068,0.960755762,1.186095233,1.348729292,1.337239896,1.234543971,1.403821184,1.391862478,1.137117201,1.127430461,0.991481318
unknown,1.02094241,0.953572108,0.849788684,0.739930927,0.7396865,1.236683248,1.358873234,1.223901288,0.934011653,0.83235712,0.724752855,0.724513443,1.211315385,1.330998909,1.198795619,0.891163528,0.775956973,0.775700646,1.296895366,1.425034585,1.283491073,0.870723441,0.870435809,1.455283262,1.599071934,1.440241923,0.999669664,1.671349586,1.836486603,1.654075055,1.671901876,1.837093462,1.654621637,1.098804594,0.989664322,0.90067363
creatine,1.007479689,0.964512568,1.489222447,1.658503012,1.85483323,1.587347272,1.605084253,1.545877479,0.957351874,1.478166224,1.646190023,1.841062655,1.575562555,1.593167854,1.53440064,1.544015596,1.719524521,1.923078342,1.64575074,1.66414032,1.602755143,1.113670436,1.24550448,1.065889972,1.077800201,1.038043364,1.118377969,0.957096406,0.967790979,0.932092054,0.855789753,0.865352328,0.833432059,1.011173976,0.973874782,0.963112981
Cys,1.007479689,0.964512568,1.489222447,1.658503012,1.85483323,1.587347272,1.605084253,1.545877479,0.957351874,1.478166224,1.646190023,1.841062655,1.575562555,1.593167854,1.53440064,1.544015596,1.719524521,1.923078342,1.64575074,1.66414032,1.602755143,1.113670436,1.24550448,1.065889972,1.077800201,1.038043364,1.118377969,0.957096406,0.967790979,0.932092054,0.855789753,0.865352328,0.833432059,1.011173976,0.973874782,0.963112981
Tyr,0.799612129,0.859064728,1.181256052,0.882916273,1.044835027,2.574345837,2.959550245,2.914954788,1.074351798,1.477286311,1.104180691,1.306677312,3.219493233,3.701232309,3.645460948,1.375048949,1.027764549,1.21624715,2.996684362,3.445084111,3.393172474,0.747438518,0.884511893,2.179329226,2.505426526,2.467673951,1.183390836,2.915730421,3.352016874,3.301507603,2.463877809,2.83255267,2.789870854,1.149631958,1.132308933,0.984931678
Cys,0.799612129,0.859064728,1.181256052,0.882916273,1.044835027,2.574345837,2.959550245,2.914954788,1.074351798,1.477286311,1.104180691,1.306677312,3.219493233,3.701232309,3.645460948,1.375048949,1.027764549,1.21624715,2.996684362,3.445084111,3.393172474,0.747438518,0.884511893,2.179329226,2.505426526,2.467673951,1.183390836,2.915730421,3.352016874,3.301507603,2.463877809,2.83255267,2.789870854,1.149631958,1.132308933,0.984931678
choline,1.008150785,0.927920449,1.027225349,0.934820049,0.987199758,0.922013004,1.140107206,0.995045023,0.920418317,1.018920348,0.927262134,0.97921836,0.914558633,1.130889568,0.987000196,1.107018764,1.007435551,1.063884042,0.993633673,1.228669124,1.072338716,0.910043789,0.961035239,0.897576179,1.109890061,0.968672574,1.056031863,0.986299989,1.219600721,1.064424136,0.93396802,1.154890078,1.007946988,1.236541351,1.079209316,0.872764437
phosphocholine,1.03535108,1.181895609,0.9747144,1.035889661,1.036714522,1.317557112,1.55716227,1.550607573,1.141540906,0.941433702,1.000520192,1.001316889,1.272570375,1.503994442,1.497663549,0.824704308,0.876464599,0.877162513,1.114782982,1.317512526,1.311966607,1.062762242,1.063608501,1.351736582,1.597557469,1.590832733,1.000796283,1.271908738,1.503212483,1.496884882,1.270896745,1.502016453,1.495693886,1.181855614,1.176880728,0.995790614
myo-inositol,0.910876073,0.880546959,0.838328741,0.722247875,0.734419497,0.714908224,0.763767419,0.736534376,0.966703358,0.920354334,0.79291563,0.806278174,0.784857837,0.83849762,0.808599982,0.952054553,0.820226415,0.834049212,0.811891083,0.867378408,0.836450991,0.861533,0.876051912,0.8527779,0.911059566,0.878574644,1.016852416,0.989837767,1.057486557,1.019780606,0.973433068,1.039960707,1.002879661,1.068343311,1.030250249,0.964343801
Tyr,0.910876073,0.880546959,0.838328741,0.722247875,0.734419497,0.714908224,0.763767419,0.736534376,0.966703358,0.920354334,0.79291563,0.806278174,0.784857837,0.83849762,0.808599982,0.952054553,0.820226415,0.834049212,0.811891083,0.867378408,0.836450991,0.861533,0.876051912,0.8527779,0.911059566,0.878574644,1.016852416,0.989837767,1.057486557,1.019780606,0.973433068,1.039960707,1.002879661,1.068343311,1.030250249,0.964343801
unknown,0.863876258,0.800196594,0.869830018,0.627575101,0.798774085,1.543753346,1.454542839,1.374350081,0.926286128,1.006891914,0.726464115,0.92463947,1.787007494,1.683739802,1.590910815,1.087020396,0.784276147,0.9982223,1.929217592,1.817731855,1.717515535,0.721491657,0.918310553,1.774775892,1.672215041,1.580021444,1.272794416,2.45987029,2.317719164,2.189937233,1.932653269,1.820968991,1.720574199,0.942211942,0.890265329,0.94486738
unknown,0.869985305,0.846850531,0.772010469,0.425301951,0.658523829,0.840047682,1.545264556,0.9963861,0.973407857,0.887383344,0.488861075,0.756936727,0.965588358,1.776196158,1.145290724,0.911625417,0.502216077,0.777615181,0.991966883,1.824719356,1.176578467,0.550901793,0.852998574,1.088129909,2.001610882,1.290638067,1.548367758,1.975179467,3.633335212,2.342773402,1.275652672,2.346558299,1.513060053,1.839496244,1.1861066,0.644799686
unknown,0.62966565,0.977570886,0.953179252,1.279656293,1.844128518,1.411590064,1.176554586,0.972593661,1.552523765,1.513786327,2.032279024,2.928742449,2.241808909,1.868538622,1.544619214,0.975048731,1.309016371,1.886439689,1.443977193,1.203549127,0.99490858,1.342513793,1.934713239,1.480928232,1.234347668,1.020368057,1.441112374,1.103100943,0.919430157,0.760042886,0.765451025,0.638000321,0.527400152,0.833495939,0.689005743,0.826645591
unknown,0.592037107,1.149962651,0.194236949,0.353438004,0.194062462,0.14281768,0.09147687,0.180148874,1.942382727,0.32808239,0.596986235,0.327787667,0.241230961,0.154512054,0.304286457,0.168907181,0.307347376,0.168755448,0.124193321,0.079547688,0.156656282,1.819622916,0.999101681,0.735275555,0.470955038,0.927469642,0.549070729,0.404081279,0.258820129,0.50970431,0.735936661,0.471378486,0.928303555,0.640515021,1.261390558,1.969337979
choline,1.021693933,1.13043263,1.246711471,1.42084432,1.361906544,1.56416167,1.392098066,1.806490742,1.106429815,1.220239673,1.390675107,1.332988775,1.530949357,1.362539231,1.768132983,1.102862248,1.256903138,1.204765775,1.383684113,1.231473711,1.598052546,1.139673736,1.092399144,1.254630046,1.116616072,1.449004669,0.958519188,1.100867736,0.979768189,1.271420603,1.148508815,1.022168571,1.326442515,0.889996278,1.154925847,1.297674917
myo-inositol,1.021693933,1.13043263,1.246711471,1.42084432,1.361906544,1.56416167,1.392098066,1.806490742,1.106429815,1.220239673,1.390675107,1.332988775,1.530949357,1.362539231,1.768132983,1.102862248,1.256903138,1.204765775,1.383684113,1.231473711,1.598052546,1.139673736,1.092399144,1.254630046,1.116616072,1.449004669,0.958519188,1.100867736,0.979768189,1.271420603,1.148508815,1.022168571,1.326442515,0.889996278,1.154925847,1.297674917
myo-inositol,1.110419973,1.179261709,1.561637628,1.637476394,1.59051581,1.899837084,1.652965252,2.056205775,1.061996126,1.406348649,1.47464602,1.432355189,1.710917608,1.488594669,1.851737023,1.324250263,1.38856064,1.34873862,1.611039406,1.401695009,1.743638209,1.048563613,1.018492243,1.216567179,1.058481956,1.316698405,0.971321368,1.160222579,1.009458981,1.255716286,1.194478591,1.039263641,1.292791786,0.870056315,1.082306368,1.243949788
choline,1.110419973,1.179261709,1.561637628,1.637476394,1.59051581,1.899837084,1.652965252,2.056205775,1.061996126,1.406348649,1.47464602,1.432355189,1.710917608,1.488594669,1.851737023,1.324250263,1.38856064,1.34873862,1.611039406,1.401695009,1.743638209,1.048563613,1.018492243,1.216567179,1.058481956,1.316698405,0.971321368,1.160222579,1.009458981,1.255716286,1.194478591,1.039263641,1.292791786,0.870056315,1.082306368,1.243949788
unknown,1.092537541,0.95620011,1.249442862,1.113611467,1.242477635,1.187707176,1.094503509,0.955734877,0.875210301,1.143615496,1.019288972,1.137240221,1.0871088,1.001799451,0.874784472,1.306675087,1.164621773,1.299390809,1.242111524,1.144638552,0.999513456,0.89128643,0.994425334,0.950589428,0.875993247,0.764928838,1.115719146,1.066536409,0.98284145,0.858230096,0.955918354,0.880903992,0.769216966,0.921526393,0.804688981,0.873213168
unknown,1.093395471,0.898838236,1.080862262,0.909507077,0.844462728,0.985766285,0.919138884,0.912940746,0.822061422,0.98853735,0.831818954,0.772330552,0.901564265,0.840628033,0.834959327,1.202510328,1.011869589,0.939504678,1.096711561,1.02258543,1.015689709,0.841464365,0.781286162,0.912018413,0.85037559,0.844641152,0.928483955,1.083846745,1.01059014,1.003775308,1.167329537,1.088430376,1.081090635,0.93241055,0.926122916,0.993256582
phosphocholine,1.065470388,1.246495656,1.130640485,1.321109606,1.258603593,1.801341679,1.831719728,2.130209949,1.169901736,1.061165564,1.239930853,1.181265671,1.690653912,1.719165308,1.999314081,0.907055295,1.059858973,1.009713581,1.445124715,1.469495476,1.708958983,1.168461261,1.113177539,1.593204652,1.620072652,1.884073654,0.952686731,1.363506609,1.386500953,1.612439981,1.43122242,1.455358731,1.692518567,1.016864123,1.182568512,1.162956274
myo-inositol,1.065470388,1.246495656,1.130640485,1.321109606,1.258603593,1.801341679,1.831719728,2.130209949,1.169901736,1.061165564,1.239930853,1.181265671,1.690653912,1.719165308,1.999314081,0.907055295,1.059858973,1.009713581,1.445124715,1.469495476,1.708958983,1.168461261,1.113177539,1.593204652,1.620072652,1.884073654,0.952686731,1.363506609,1.386500953,1.612439981,1.43122242,1.455358731,1.692518567,1.016864123,1.182568512,1.162956274
GSH,0.967534772,1.199863793,1.63396912,1.903225652,1.946454454,1.519310995,1.538239182,1.614022081,1.240124724,1.688796275,1.967087599,2.011766926,1.570290845,1.58985416,1.668179923,1.361795505,1.58620142,1.622229512,1.266236221,1.282011501,1.345171086,1.164786794,1.191243109,0.929828463,0.94141264,0.98779228,1.02271344,0.798282113,0.808227433,0.848045569,0.780553067,0.790277511,0.829211327,1.012458402,1.062338183,1.049266005
Glu,0.967534772,1.199863793,1.63396912,1.903225652,1.946454454,1.519310995,1.538239182,1.614022081,1.240124724,1.688796275,1.967087599,2.011766926,1.570290845,1.58985416,1.668179923,1.361795505,1.58620142,1.622229512,1.266236221,1.282011501,1.345171086,1.164786794,1.191243109,0.929828463,0.94141264,0.98779228,1.02271344,0.798282113,0.808227433,0.848045569,0.780553067,0.790277511,0.829211327,1.012458402,1.062338183,1.049266005
Ala,0.967534772,1.199863793,1.63396912,1.903225652,1.946454454,1.519310995,1.538239182,1.614022081,1.240124724,1.688796275,1.967087599,2.011766926,1.570290845,1.58985416,1.668179923,1.361795505,1.58620142,1.622229512,1.266236221,1.282011501,1.345171086,1.164786794,1.191243109,0.929828463,0.94141264,0.98779228,1.02271344,0.798282113,0.808227433,0.848045569,0.780553067,0.790277511,0.829211327,1.012458402,1.062338183,1.049266005
Gln,0.967534772,1.199863793,1.63396912,1.903225652,1.946454454,1.519310995,1.538239182,1.614022081,1.240124724,1.688796275,1.967087599,2.011766926,1.570290845,1.58985416,1.668179923,1.361795505,1.58620142,1.622229512,1.266236221,1.282011501,1.345171086,1.164786794,1.191243109,0.929828463,0.94141264,0.98779228,1.02271344,0.798282113,0.808227433,0.848045569,0.780553067,0.790277511,0.829211327,1.012458402,1.062338183,1.049266005
unknown,0.907915493,1.00404026,0.514571617,0.477896457,0.33501319,0.632179087,0.544025271,0.418862492,1.105874135,0.566761578,0.526366672,0.3689916,0.69629728,0.599202542,0.461345241,0.51250098,0.4759734,0.333665096,0.629635197,0.541836112,0.417176988,0.92872681,0.651052602,1.228554134,1.057239174,0.814002323,0.701016267,1.322836942,1.138374775,0.876471223,1.887027454,1.623892095,1.250286568,0.860555627,0.662569357,0.769932049
unknown,0.831239014,1.124013855,0.382609303,0.390581447,0.36984419,1.826480791,1.841106453,1.886439528,1.352214991,0.460287952,0.469878628,0.444931222,2.197299165,2.214894179,2.269430931,0.34039554,0.347488108,0.329038818,1.62496288,1.637974874,1.678306295,1.020836254,0.96663669,4.773749036,4.811975137,4.930459124,0.946906702,4.676312208,4.713758077,4.829823692,4.938514215,4.978059684,5.100633127,1.008007564,1.032827467,1.024622735
creatine,1.004334133,1.029945963,1.341289777,1.745519286,1.965450207,1.644749387,1.584984697,1.506641576,1.025501303,1.335501536,1.73798662,1.956968446,1.637651587,1.578144808,1.50013977,1.302291408,1.694767832,1.908304201,1.596927846,1.538900831,1.462835557,1.301373734,1.465343463,1.22624463,1.181687003,1.123278206,1.125997417,0.942269387,0.90803047,0.863148055,0.83683086,0.806423226,0.766563086,0.963663346,0.916031091,0.950571686
Tyr,1.004334133,1.029945963,1.341289777,1.745519286,1.965450207,1.644749387,1.584984697,1.506641576,1.025501303,1.335501536,1.73798662,1.956968446,1.637651587,1.578144808,1.50013977,1.302291408,1.694767832,1.908304201,1.596927846,1.538900831,1.462835557,1.301373734,1.465343463,1.22624463,1.181687003,1.123278206,1.125997417,0.942269387,0.90803047,0.863148055,0.83683086,0.806423226,0.766563086,0.963663346,0.916031091,0.950571686
Cys,1.038519472,0.969648799,0.463241828,0.460238404,0.367626927,0.637876101,0.624612171,0.539483287,0.933683792,0.446059838,0.443167813,0.353991367,0.614216794,0.601444833,0.519473444,0.477741867,0.474644432,0.379134103,0.657842408,0.6441633,0.556369778,0.993516509,0.793596142,1.376982955,1.348350112,1.164582417,0.798774992,1.385968872,1.357149177,1.17218225,1.735118006,1.699038139,1.467474897,0.979206102,0.845749334,0.863709215
Tyr,1.038519472,0.969648799,0.463241828,0.460238404,0.367626927,0.637876101,0.624612171,0.539483287,0.933683792,0.446059838,0.443167813,0.353991367,0.614216794,0.601444833,0.519473444,0.477741867,0.474644432,0.379134103,0.657842408,0.6441633,0.556369778,0.993516509,0.793596142,1.376982955,1.348350112,1.164582417,0.798774992,1.385968872,1.357149177,1.17218225,1.735118006,1.699038139,1.467474897,0.979206102,0.845749334,0.863709215
Cys,0.889012044,0.897208417,0.831152873,0.782489311,0.709445449,0.822465429,0.795282946,0.888836687,1.009219642,0.93491745,0.880178527,0.798015566,0.925145429,0.894569372,0.999802751,0.92637659,0.872137729,0.790725361,0.91669384,0.886397108,0.990669136,0.941450528,0.853567944,0.989547718,0.956843165,1.069402171,0.906651936,1.051088388,1.016349916,1.135909046,1.159307498,1.120992385,1.252861214,0.966949999,1.080697931,1.117635794
choline,1.133354136,1.293525107,1.246589736,1.406263167,1.297186993,1.693874248,1.469132063,1.907073999,1.141324734,1.09991193,1.240797666,1.144555749,1.494567491,1.296269204,1.682681466,0.963715144,1.087155679,1.002830935,1.309502412,1.135758444,1.474323141,1.128088197,1.04058854,1.35880651,1.178520905,1.529832907,0.922435447,1.20452152,1.044706352,1.356128813,1.305805761,1.132552263,1.47016121,0.86732062,1.125865159,1.29809569
myo-inositol,1.133354136,1.293525107,1.246589736,1.406263167,1.297186993,1.693874248,1.469132063,1.907073999,1.141324734,1.09991193,1.240797666,1.144555749,1.494567491,1.296269204,1.682681466,0.963715144,1.087155679,1.002830935,1.309502412,1.135758444,1.474323141,1.128088197,1.04058854,1.35880651,1.178520905,1.529832907,0.922435447,1.20452152,1.044706352,1.356128813,1.305805761,1.132552263,1.47016121,0.86732062,1.125865159,1.29809569
lactate,1.124879447,1.053755644,0.892066118,0.618811213,0.812953248,0.789096016,0.457653372,0.546912364,0.936772067,0.79303264,0.550113361,0.722702553,0.701493852,0.406846595,0.486196423,0.846558804,0.587243557,0.77148175,0.748841556,0.434306924,0.519012512,0.693683125,0.911315016,0.884571222,0.513026292,0.613085009,1.313733868,1.275180539,0.739568648,0.883811334,0.970653623,0.56295165,0.672747621,0.579971718,0.693087219,1.195036236
phosphocholine,0.958361077,1.208976392,0.717832329,1.150381091,1.187269462,1.616297722,1.951609519,2.122346339,1.261504063,0.749020746,1.200362911,1.238854009,1.686522712,2.036403153,2.214558156,0.593752148,0.951533131,0.9820452,1.336914214,1.614266029,1.755490309,1.602576319,1.65396488,2.251636848,2.718754004,2.956604563,1.032066218,1.405010682,1.696489566,1.844907183,1.361357109,1.643779766,1.787586059,1.207456703,1.313091215,1.087485134
unknown,0.805827534,0.77140543,0.771296391,0.678547617,0.658676728,0.638261316,0.752543356,0.695876567,0.957283534,0.957148221,0.842050673,0.817391687,0.79205697,0.933876449,0.863555212,0.999858649,0.87962515,0.853865817,0.8274006,0.97554843,0.902089277,0.879749504,0.853986529,0.82751757,0.975686344,0.902216806,0.970715557,0.94062863,1.109050179,1.025538296,0.969005414,1.142507886,1.056476626,1.179052118,1.090269064,0.924699635
unknown,0.729299399,0.697478857,0.95614186,1.078412812,0.954706349,0.554834101,0.678055175,0.662232687,0.956368342,1.311041613,1.478696971,1.30907327,0.760776852,0.929734998,0.908039536,1.370854257,1.546158426,1.368796114,0.79548519,0.972151584,0.949466326,1.127879509,0.998498642,0.580284291,0.709157504,0.69260924,0.885288396,0.514491385,0.628752893,0.614080879,0.581156815,0.710223805,0.693650658,1.222086339,1.193568827,0.976664896
Ura,1.239738172,0.792547381,0.214162511,0.8474664,0.9064894,1.696830228,2.143611147,1.974313204,0.6392861,0.172748179,0.683584985,0.731194231,1.368700478,1.729083765,1.592524332,0.270220452,1.069294304,1.143766822,2.140982695,2.704710403,2.49109801,3.957118338,4.232717457,7.923096432,10.0092735,9.218761925,1.069646418,2.002238941,2.529434967,2.329665463,1.871869907,2.364739342,2.177977155,1.263303253,1.163530193,0.921022083
unknown,1.430814259,0.652137738,0.9641099,1.061949355,1.336472473,0.853628664,1.252466563,1.400312923,0.455780849,0.673819047,0.742199309,0.934064268,0.596603408,0.875352307,0.978682532,1.47838385,1.628412668,2.049371466,1.30896989,1.920555259,2.147265586,1.101481641,1.386224198,0.885405973,1.299091071,1.452441182,1.258508673,0.803831803,1.17940329,1.318624957,0.63871773,0.937143554,1.047767875,1.46722646,1.640423971,1.118044157
Cyt,0.93553562,0.887652988,0.860868866,0.680947319,0.934122888,0.974087624,1.228411014,1.151032177,0.948817949,0.92018823,0.727868939,0.998489923,1.041208484,1.31305638,1.230345647,0.96982591,0.767132346,1.052351427,1.097374354,1.383886531,1.296714136,0.791000053,1.085093125,1.131516845,1.426943246,1.337058664,1.371799055,1.430488964,1.803973642,1.690339539,1.042783167,1.315042196,1.232206374,1.261088822,1.181651577,0.937009001
Urd,0.93553562,0.887652988,0.860868866,0.680947319,0.934122888,0.974087624,1.228411014,1.151032177,0.948817949,0.92018823,0.727868939,0.998489923,1.041208484,1.31305638,1.230345647,0.96982591,0.767132346,1.052351427,1.097374354,1.383886531,1.296714136,0.791000053,1.085093125,1.131516845,1.426943246,1.337058664,1.371799055,1.430488964,1.803973642,1.690339539,1.042783167,1.315042196,1.232206374,1.261088822,1.181651577,0.937009001
unknown,0.928704711,0.859103624,1.058858215,0.85958743,1.078630437,0.71971625,1.026061554,1.027468908,0.92505574,1.140145196,0.925576687,1.161435302,0.774967804,1.104830784,1.106346178,1.232515131,1.000563153,1.255530075,0.837752549,1.194339689,1.195977854,0.811805979,1.018673154,0.679709748,0.969026391,0.970355515,1.254823418,0.837281032,1.193667471,1.195304715,0.667250084,0.951263305,0.952568065,1.425647335,1.427602764,1.001371608
Ura,1.152876263,1.145703604,1.112585397,1.478471414,1.414501673,0.529313779,0.680575843,0.65708518,0.993778466,0.965051873,1.282419859,1.226932775,0.459124536,0.590328611,0.569952909,0.971093565,1.290448428,1.234613968,0.461998878,0.594024354,0.573521091,1.328861064,1.271364586,0.475751147,0.611706611,0.59059303,0.956732514,0.358014212,0.460323978,0.444435499,0.374205128,0.481141773,0.46453475,1.285770124,1.241390658,0.965484137
UDP,1.152876263,1.145703604,1.112585397,1.478471414,1.414501673,0.529313779,0.680575843,0.65708518,0.993778466,0.965051873,1.282419859,1.226932775,0.459124536,0.590328611,0.569952909,0.971093565,1.290448428,1.234613968,0.461998878,0.594024354,0.573521091,1.328861064,1.271364586,0.475751147,0.611706611,0.59059303,0.956732514,0.358014212,0.460323978,0.444435499,0.374205128,0.481141773,0.46453475,1.285770124,1.241390658,0.965484137
UTP,1.152876263,1.145703604,1.112585397,1.478471414,1.414501673,0.529313779,0.680575843,0.65708518,0.993778466,0.965051873,1.282419859,1.226932775,0.459124536,0.590328611,0.569952909,0.971093565,1.290448428,1.234613968,0.461998878,0.594024354,0.573521091,1.328861064,1.271364586,0.475751147,0.611706611,0.59059303,0.956732514,0.358014212,0.460323978,0.444435499,0.374205128,0.481141773,0.46453475,1.285770124,1.241390658,0.965484137
Ura,1.141291683,1.231866073,1.331551571,1.569411491,1.522985225,0.648292972,0.663334587,0.740094335,1.079361299,1.166705752,1.375118662,1.334439958,0.568034431,0.581213898,0.648470804,1.08092235,1.274011458,1.236323703,0.526269037,0.538479468,0.600791231,1.178633652,1.14376736,0.486870345,0.498166651,0.555813497,0.970418041,0.413080302,0.422664541,0.471574434,0.425672529,0.435548931,0.48594978,1.023201879,1.141604748,1.115717994
UDP,1.141291683,1.231866073,1.331551571,1.569411491,1.522985225,0.648292972,0.663334587,0.740094335,1.079361299,1.166705752,1.375118662,1.334439958,0.568034431,0.581213898,0.648470804,1.08092235,1.274011458,1.236323703,0.526269037,0.538479468,0.600791231,1.178633652,1.14376736,0.486870345,0.498166651,0.555813497,0.970418041,0.413080302,0.422664541,0.471574434,0.425672529,0.435548931,0.48594978,1.023201879,1.141604748,1.115717994
UTP,1.141291683,1.231866073,1.331551571,1.569411491,1.522985225,0.648292972,0.663334587,0.740094335,1.079361299,1.166705752,1.375118662,1.334439958,0.568034431,0.581213898,0.648470804,1.08092235,1.274011458,1.236323703,0.526269037,0.538479468,0.600791231,1.178633652,1.14376736,0.486870345,0.498166651,0.555813497,0.970418041,0.413080302,0.422664541,0.471574434,0.425672529,0.435548931,0.48594978,1.023201879,1.141604748,1.115717994
Ura,1.065685308,1.199959551,1.364000997,1.527942332,1.457812091,0.778708675,0.720436779,0.77937889,1.125998024,1.2799285,1.433765035,1.367957389,0.730711655,0.676031445,0.731340561,1.136705813,1.273328198,1.21488436,0.64894577,0.60038422,0.649504302,1.120191507,1.068776411,0.570900371,0.52817907,0.571391731,0.954101513,0.50964533,0.471507833,0.51008397,0.534162585,0.494190426,0.534622326,0.925168554,1.000860676,1.081814413
UDP,1.065685308,1.199959551,1.364000997,1.527942332,1.457812091,0.778708675,0.720436779,0.77937889,1.125998024,1.2799285,1.433765035,1.367957389,0.730711655,0.676031445,0.731340561,1.136705813,1.273328198,1.21488436,0.64894577,0.60038422,0.649504302,1.120191507,1.068776411,0.570900371,0.52817907,0.571391731,0.954101513,0.50964533,0.471507833,0.51008397,0.534162585,0.494190426,0.534622326,0.925168554,1.000860676,1.081814413
UTP,1.065685308,1.199959551,1.364000997,1.527942332,1.457812091,0.778708675,0.720436779,0.77937889,1.125998024,1.2799285,1.433765035,1.367957389,0.730711655,0.676031445,0.731340561,1.136705813,1.273328198,1.21488436,0.64894577,0.60038422,0.649504302,1.120191507,1.068776411,0.570900371,0.52817907,0.571391731,0.954101513,0.50964533,0.471507833,0.51008397,0.534162585,0.494190426,0.534622326,0.925168554,1.000860676,1.081814413
Ura,0.886041517,1.085254188,1.371097676,1.26015632,1.116207526,0.912209551,0.801707377,0.830402328,1.224834466,1.547441796,1.422231686,1.259768876,1.029533644,0.904819201,0.937204761,1.263388513,1.161162366,1.02852174,0.840549211,0.738727743,0.765168508,0.919085739,0.814097745,0.665313323,0.584719376,0.605647827,0.885769097,0.723886026,0.636196767,0.658967712,0.817240101,0.718242225,0.743949766,0.878863169,0.910319703,1.0357923
