,A2780 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_Untreated vs A2780 cell_Untreated,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_Untreated vs A2780 cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_Untreated vs A2780cisR cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_0.015 ?M DiRu-1
metabolite_identification,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
lipid beta-CH2,0.71093421,0.91388239,3.114912278,2.542532332,2.50012356,0.329004387,0.397207597,0.478653635,1.285466892,4.381435346,3.576325763,3.516673587,0.462777542,0.558712172,0.673274162,3.40843889,2.782122033,2.735716968,0.36000736,0.434637543,0.523758462,0.816245244,0.802630488,0.10562236,0.127518068,0.153665205,0.983320262,0.129400276,0.15622519,0.188258623,0.131595251,0.158875186,0.191451992,1.207301826,1.454854873,1.205046528
Leu,0.973933968,0.92584119,0.585783349,0.477239416,0.508354516,1.124231589,1.214415777,1.057739507,0.950620084,0.601461053,0.490012087,0.521959941,1.154320135,1.246917982,1.086048482,0.632703919,0.515465743,0.549073126,1.214281241,1.311689078,1.14246322,0.814702939,0.867820017,1.919193487,2.073148337,1.805683805,1.065198093,2.355697268,2.544667803,2.2163708,2.211510971,2.388915095,2.080712325,1.080218514,0.94085553,0.870986302
unknown,1.076818481,1.16105166,0.735183703,1.535916702,2.051739342,1.09854404,1.113055656,0.990411767,1.078224121,0.682736892,1.426346899,1.905371591,1.020175693,1.033652073,0.919757401,0.633204988,1.322866806,1.767138718,0.946162929,0.958661612,0.853029888,2.089160432,2.790784582,1.494244277,1.513983038,1.347162299,1.335840245,0.71523673,0.724684909,0.644834297,0.535420858,0.542493694,0.482718124,1.013209862,0.901567649,0.889813337
acetate,1.022318452,0.935105796,0.828636039,0.669312057,0.602973878,0.547284586,0.534091262,0.482907065,0.914691303,0.81054591,0.654700163,0.589810227,0.535336699,0.522431402,0.472364618,0.886141485,0.715760782,0.644818886,0.585264884,0.571155974,0.51641971,0.807727428,0.727670351,0.660464377,0.644542642,0.582773427,0.900886025,0.817682246,0.797970478,0.721497633,0.90764228,0.885761857,0.800875597,0.97589312,0.882369205,0.904165822
lipid -CH2-CH=,1.040316558,0.986622008,1.255982473,1.171941026,1.113806346,0.711852661,0.715261548,0.670134798,0.948386335,1.207307971,1.126523477,1.070641756,0.684265434,0.687542213,0.64416431,1.273012828,1.187831831,1.12890888,0.721504948,0.724960058,0.679221417,0.933087087,0.886800867,0.566769582,0.569483702,0.533554259,0.950394534,0.607413381,0.610322134,0.571816144,0.639117081,0.642177656,0.60166186,1.004788755,0.941395369,0.936908743
Gln,1.040316558,0.986622008,1.255982473,1.171941026,1.113806346,0.711852661,0.715261548,0.670134798,0.948386335,1.207307971,1.126523477,1.070641756,0.684265434,0.687542213,0.64416431,1.273012828,1.187831831,1.12890888,0.721504948,0.724960058,0.679221417,0.933087087,0.886800867,0.566769582,0.569483702,0.533554259,0.950394534,0.607413381,0.610322134,0.571816144,0.639117081,0.642177656,0.60166186,1.004788755,0.941395369,0.936908743
Glu,1.040316558,0.986622008,1.255982473,1.171941026,1.113806346,0.711852661,0.715261548,0.670134798,0.948386335,1.207307971,1.126523477,1.070641756,0.684265434,0.687542213,0.64416431,1.273012828,1.187831831,1.12890888,0.721504948,0.724960058,0.679221417,0.933087087,0.886800867,0.566769582,0.569483702,0.533554259,0.950394534,0.607413381,0.610322134,0.571816144,0.639117081,0.642177656,0.60166186,1.004788755,0.941395369,0.936908743
GSH,1.071064865,1.011213604,1.96512203,2.144874787,2.122750426,1.264684148,1.29643152,1.46683619,0.944119854,1.834736713,2.002562923,1.981906508,1.180772696,1.210413638,1.369512004,1.943330293,2.121089726,2.099210708,1.250659744,1.282055062,1.450570071,1.09147155,1.080213032,0.643565198,0.659720618,0.746435167,0.989685011,0.589630759,0.604432262,0.683879637,0.595776184,0.610731956,0.69100737,1.025103005,1.159843896,1.13144132
Glu,1.071064865,1.011213604,1.96512203,2.144874787,2.122750426,1.264684148,1.29643152,1.46683619,0.944119854,1.834736713,2.002562923,1.981906508,1.180772696,1.210413638,1.369512004,1.943330293,2.121089726,2.099210708,1.250659744,1.282055062,1.450570071,1.09147155,1.080213032,0.643565198,0.659720618,0.746435167,0.989685011,0.589630759,0.604432262,0.683879637,0.595776184,0.610731956,0.69100737,1.025103005,1.159843896,1.13144132
Gln,1.071064865,1.011213604,1.96512203,2.144874787,2.122750426,1.264684148,1.29643152,1.46683619,0.944119854,1.834736713,2.002562923,1.981906508,1.180772696,1.210413638,1.369512004,1.943330293,2.121089726,2.099210708,1.250659744,1.282055062,1.450570071,1.09147155,1.080213032,0.643565198,0.659720618,0.746435167,0.989685011,0.589630759,0.604432262,0.683879637,0.595776184,0.610731956,0.69100737,1.025103005,1.159843896,1.13144132
