,HCvsNC,NTvsNC,HTvsNC,HCvsNT,HCvsHT,HTvsNT
Metabolite ,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
Leucinic acid,0.475514385,3.496070884,1.346734692,0.136013943,0.353086905,0.385213783
L-Isoleucine,0.532694603,3.447769479,1.629526877,0.154504124,0.326901391,0.472632201
2-Hydroxybutyric acid,0.632507384,3.780663949,1.948679637,0.16730061,0.324582539,0.515433179
2-Hydroxyvaleric acid,0.674233823,2.830775585,2.025109011,0.238179892,0.332937051,0.715390164
2-Hydroxybutyric acid,0.643639745,6.107898832,2.573673189,0.105378259,0.250086043,0.421368012
2-Hydroxyvaleric acid,0.539558632,3.46727951,1.693080289,0.155614403,0.31868461,0.488302222
2-Hydroxybutyric acid,0.678678334,4.006436014,2.22547403,0.169397023,0.304959,0.555474747
2-Hydroxyvaleric acid,0.825953718,1.994048622,1.60694232,0.414209418,0.513990893,0.805869176
unknown,0.791353189,1.895684647,1.62162516,0.417449806,0.488000068,0.855429811
Ethyl 2-hydroxyisovalerate,0.764432941,4.448097372,2.310244029,0.171856162,0.330888396,0.519378025
