,HCvsNC,NTvsNC,HTvsNC,HCvsNT,HCvsHT,HTvsNT
Metabolite ,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
sn-glycero-3-phosphocholine,0.440649016,4.184261083,2.259640116,0.105311071,0.195008494,0.540033251
unknown,0.532461364,10.10791771,3.626929549,0.052677651,0.146807749,0.358820644
Myoinositol,0.54102246,1.473752822,0.759149214,0.367105292,0.712669459,0.515112984
Lactulose,0.491381737,2.635826437,1.368430326,0.186424163,0.35908422,0.519165567
Myoinositol,0.537510293,1.309006934,0.684527698,0.410624481,0.785227968,0.522936648
Lactulose,0.564281716,2.31493685,1.227717193,0.243756851,0.459618648,0.530345868
Myoinositol,0.545142508,1.657185996,0.82976781,0.328956743,0.656981992,0.50070892
Phosphorylcholine,0.605940891,7.159107443,3.077517172,0.084639167,0.196892773,0.429874422
unknown,0.400212764,9.024033773,2.615515413,0.044349653,0.153014875,0.289838833
Acetonitrile,0.239476248,4.35892801,1.183986886,0.054939253,0.202262585,0.271623409
D-Glucose,0.333605183,6.159198507,1.760953214,0.054163733,0.189445796,0.285906228
Myoinositol,0.474757348,1.616841074,0.848606408,0.293632661,0.559455294,0.524854558
D-Glucose,0.569762367,1.171149229,0.714550721,0.48649852,0.797371481,0.610127816
unknown,0.643119439,1.360809395,0.844345426,0.472600675,0.761678123,0.620472954
D-Glucose,0.551775307,1.746027314,0.93116712,0.316017569,0.592563134,0.533306159
unknown,0.641400289,4.604982704,2.322580705,0.139283974,0.276158451,0.504362525
D-Glucose,0.413408768,14.24153041,7.646326984,0.029028395,0.054066321,0.536903462
D-Glucose,0.476123609,4.424736249,1.880214879,0.107604969,0.253228296,0.424932645
unknown,0.313882878,4.932545547,2.019705636,0.063635069,0.155410211,0.409465177
Taurine,0.568666782,6.710863944,2.153025704,0.084738237,0.264124474,0.320826904
D-Glucose,0.564443776,5.415407033,2.614096021,0.104229243,0.215923123,0.482714596
Taurine,0.632651249,5.886903145,1.944468558,0.107467582,0.325359464,0.330304153
D-Glucose,0.632220839,9.867305034,5.983030948,0.064072291,0.10566899,0.606349041
Taurine,0.606655448,5.538453519,2.223293214,0.10953517,0.272863446,0.401428523
D-Glucose,0.526539982,8.982757104,5.519026031,0.058616745,0.095404511,0.614402234
4-Hydroxyproline,0.577506934,9.294975931,3.102246543,0.062131084,0.186157653,0.333755199
unknown,0.499033627,3.083728027,0.901212829,0.161828028,0.5537356,0.292247831
Glucose 6-phosphate,0.330383747,10.57825894,2.684333505,0.031232337,0.123078502,0.253759482
Myoinositol,0.515783214,1.714181203,0.76525624,0.300891885,0.674000664,0.44642669
Glucose 6-phosphate,0.47723578,2.906722438,1.049850815,0.164183471,0.454574853,0.361180277
Myoinositol,0.533873358,1.571694348,0.703003258,0.339680141,0.759418043,0.447290059
Taurine,0.626669218,7.004682132,1.697055438,0.089464334,0.36926856,0.24227444
Betaine,0.580103889,133.7844315,14.45578925,0.004336109,0.04012952,0.108052851
Taurine,0.617741697,14.11999878,3.836731842,0.043749416,0.161007264,0.271723242
D-Glucose,0.670273342,9.32478882,5.379555694,0.071880807,0.124596413,0.576909118
Taurine,0.632787675,6.332759084,2.413640744,0.099922904,0.262171442,0.381135728
