,Weight Stable_Female vs Control_Female,Weight Stable_Male vs Control_Male
 metabolite_name,ratio,ratio
Sph,0.325397,2.342105
SPA,0.416667,1.696429
S1P,0.518549,1.106038
C8-cer,NA,NA
C14-cer,0.991071,1.697368
C16-cer,1.149194,1.667022
C18:1-cer,1.260000,2.277778
C18-cer,1.332566,2.896947
C20-cer,1.077689,1.723358
C22-cer,0.901593,0.889871
C24:1-cer,1.177662,1.412908
C24-cer,0.790539,0.602724
