,LLGL2-KD vs shGFP
Metabolites,Ratio
N-acetyl-L-ornithine,0.83689596
arginine,0.749674648
citrulline,1.014423235
N-carbamoyl-L-aspartate,0.858531399
glucosamine,2.020888723
tyrosine,0.718023307
Phosphorylcholine,1.116044926
3-phospho-serine,0.805513975
N6-Acetyl-L-lysine,1.032856827
Acetyllysine,1.040895766
N-acetyl-glutamine,0.92928081
N-acetyl-glutamate,0.948811622
"Ng,NG-dimethyl-L-arginine",1.032248533
Acetylcarnitine DL,0.86036033
tryptophan,0.672047064
Kynurenine,1.097590276
N-acetyl-glucosamine,1.448349821
Flavone,0.611588931
cystathionine,0.917511165
5-methoxytryptophan,0.679581748
Cystine,2.209213892
cytidine,1.003930288
biotin,0.709783044
deoxyadenosine,1.356729634
Glycerophosphocholine,0.979036183
acadesine,1.019077053
D-glucosamine-6-phosphate,1.734416107
D-glucosamine-1-phosphate,0.550937727
thiamine,NA
S-ribosyl-L-homocysteine,1.94861047
deoxyguanosine,2.207493974
adenosine,1.04586836
1-Methyladenosine,NA
guanosine,2.232477355
L-arginino-succinate,0.620562164
S-methyl-5-thioadenosine,0.917356604
7-methylguanosine,0.886440141
dCMP,1.105885624
glutathione,0.925536641
dTMP,0.785999173
CMP,0.729065654
UMP,0.689821369
dAMP,0.696481461
Nicotinamide ribotide,0.983015142
aminoimidazole carboxamide ribonucleotide,0.733471143
thiamine-phosphate,0.874392626
dGMP,1.246889929
AMP,0.938378429
IMP,0.672302696
S-adenosyl-L-methioninamine,9999
GMP,0.571680383
xanthosine-5-phosphate,0.556283199
riboflavin,1.193675436
S-adenosyl-L-homoCysteine,0.779394864
S-adenosyl-L-methionine,0.585335689
folate,1.21739431
"7,8-dihydrofolate",9999
5-methyl-THF,0.803231826
Diiodothyronine,9999
glutathione disulfide,2.302349628
NAD+,1.568648079
NADH,0.8864942
dephospho-CoA,1.724211737
NADP+,1.197529276
NADPH,0.770026464
coenzyme A,0.699159334
FAD,0.743339391
acetyl-CoA,1.482483524
propionyl-CoA,0.355938641
acetoacetyl-CoA,0.539142922
malonyl-CoA,9999
succinyl-CoA,0.814717637
sarcosine,0.842112028
putrescine,1.460402182
spermidine,0.812031922
N-acetyl spermine,1.062268926
N-acetyl spermidine,1.353918611
N1-Methyl-2_2-pyridone-3_5-carboximide,1.068690831
N1-Methyl-2_4-pyridone-3_5-carboximide,9999
Nicotinamide Riboside,1.328151015
Adenylosuccinate,0.588358276
cholesterol,1.174969274
arginosuccinic acid,0.800021328
phosphocreatine,2.443424988
retinoic acid,9999
spermine,9999
