,Prostate cancer_AA vs Case control_AA,Prostate cancer_EA vs Case control_EA
,ratio,ratio
PC P-42:0 or PC O-42:1,1.060977826,1.153579751
PC P-42:1 or PC O-42:2,1.051092398,1.061373039
PC P-42:2 or PC O-42:3,1.009371329,1.376158184
PC P-42:3 or PC O-42:4,0.358025338,1.743605587
PC P-42:4 or PC O-42:5,1.139017384,1.105371279
PC P-44:2 or PC O-44:3,1.103074141,1.781734395
PC P-44:3 or PC O-44:4,0.778005269,1.417915959
PC P-44:4 or PC O-44:5,1.191991021,1.105370342
PC P-44:5 or PC O-44:6,1.178059679,1.129773523
Palmitoyl-EA,0.04,#DIV/0!
Phenylalanine,1.13640907,1.089620087
Proline,1.124566727,1.038577328
Putrescine,1.56221844,0.329695961
Symmetric dimethyl-arginine,1.203451867,1.17489343
Serine,1.196318087,1.0724732
Serotonin,1.692520141,1.324205231
SM 18:1;O2/14:1;O,0.851493579,1.143287339
SM 18:1;O2/16:1;O,0.942994786,1.241222547
SM 18:1;O3/22:1,0.966559783,1.143533123
SM 18:1;O2/22:2;O,0.956672241,1.085008988
SM 18:1;O3/24:1,0.979953406,1.123953641
SM 18:1;O2/16:0,1.006200847,1.08046987
SM 18:1;O2/16:1,0.990835244,1.034961429
SM 18:1;O2/18:0,1.091000559,1.057750541
SM 18:1;O2/18:1,1.108116335,1.013045048
SM 18:1;O2/20:2,1.175925346,0.956935167
SM 18:1;O2/22:3,1.605531982,0.607692308
SM 18:1;O2/24:0,0.973511877,1.133535842
SM 18:1;O2/24:1,1.122016037,1.080936448
SM 18:1;O2/26:0,0.532392227,1.448229407
SM 18:1;O2/26:1,1.07748282,1.259255818
Spermidine,1.096466854,0.675556341
Spermine,0.831951206,0.927914819
Taurine,1.38261996,1.167608286
Threonine,1.226707393,0.979203414
trans-4-Hydroxyproline,1.078998119,1.20865282
Tryptophan,1.284772672,1.06226849
Tyrosine,1.262741124,1.058231029
Valine,1.15710691,1.132331228
