,Weight Stable_Female vs Control_Female,Weight Stable_Male vs Control_Male
 metabolite_name,ratio,ratio
Carnitine,0.64089,1.011093
Acetylcarnitine (C2),0.641148,1.099341
Propionylcarnitine (C3),0.533047,1.197788
Butyrylcarnitine (C4),0.691552,1.008421
Isovalerylcarnitine (C5),0.518405,0.512676
Octanoylcarnitine (C8),0.4216,0.956592
Lauroylcarnitine (C12),0.438462,1.075893
Myristoylcarnitine (C14),0.578231,1.329787
Palmitoylcarnitine (C16),0.675039,1.158242
Oleoylcarnitine (C18:1),0.526871,1.08815
Stearoylcarnitine (C18),0.659664,1.261589
