,Squamous cell vs control_M&F,Other NSCLC vs control_M&F,Adenocarcinoma vs control_M&F,Squamous cell vs control_M,Other NSCLC vs control_M,Adenocarcinoma vs control_M,Squamous cell vs control_F,Other NSCLC vs control_F,Adenocarcinoma vs control_F
refmet_name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
Glucuronic acid,0.585977731,1.18190675,0.567275574,0.607430139,1.001653865,0.520154588,0.332985386,1.516999702,0.605427975
Glutamine,1.041889271,1.087606608,0.981236102,1.053557395,1.1064236,0.962168536,1.017393657,0.957504885,1.010976041
Glyceric acid,0.855274492,1.129115182,0.898669904,0.876126289,1.071782642,0.817573735,0.747731543,1.305488738,1.070558355
Glycerol,0.893725841,1.025516183,0.993340927,0.878976862,1.009007409,0.939659577,1.119968636,1.24550192,1.193244861
Galactosylglycerol,0.931735353,0.903101482,0.780651165,1.001434295,1.006880072,0.930982617,1.072959765,0.778439951,0.627617878
sn-Glycero-3-phosphate,0.937559077,1.005274942,0.932768414,0.900730496,1.048376474,0.918285963,1.173036297,0.943689109,1.002173107
Glycine,0.935195894,1.05207757,0.980842735,0.88567223,1.032307373,0.913334297,1.105462699,1.118494099,1.11157768
Glycine,0.942786489,1.026290816,0.997656956,0.896367329,1.005699883,1.035688747,0.997257414,0.924654882,0.826130402
Glycolic acid,0.925566288,0.991192859,0.976175956,0.895462565,0.950853335,0.963036719,1.115651723,1.116313503,1.012549706
Hippuric acid,0.967473791,0.909775803,1.235776351,0.921889291,0.832892264,1.242728797,1.068423671,0.995995699,1.105589008
Hydrocinnamic acid,0.994146077,1.085331065,1.010999819,0.963221849,1.100970198,1.090917223,1.1613352,1.129575259,0.884807064
Hydroquinone,0.591036437,0.669344775,0.534087337,0.46446354,0.584220271,0.523907277,1.018221189,0.701309533,0.440975465
Hydroxylamine,0.905360868,0.928706555,0.956835912,0.861732728,0.917914753,0.981640351,1.100849916,1.009666383,0.917798146
Indoleacetic acid,1.673496364,0.900344161,0.915236616,1.725094742,0.951855327,0.947347451,1.173560105,0.643628661,0.769066102
Indolelactic acid,1.110062445,1.080285892,1.026032266,1.162607828,1.130896918,1.105002604,0.795201814,0.707071032,0.789434908
Inosine,1.331153763,0.761928783,0.868977308,1.153744961,0.736669691,0.975352755,1.854630104,1.294879277,0.688887928
Inosine,0.972192189,0.77894907,0.454349011,0.909325064,0.556171276,0.509377511,1.230153255,1.373396293,0.291999176
Myo-inositol,0.873343415,1.078226809,0.88802351,0.82251127,1.047230221,0.87640362,0.903389764,0.94038039,0.807759752
Myo-inositol,1.00762854,1.133397007,1.071797859,1.019677249,1.085254805,0.959926419,0.810789825,1.116834826,1.222810917
Isocitric acid,1.057067241,1.130734295,0.964653572,1.065134058,1.110751812,0.910795491,0.90247638,1.134692524,1.041826365
Isocitric acid,0.996815294,1.146207502,0.887372863,0.939750461,1.118103478,0.896181058,0.980258865,0.827905928,0.710584654
Isoleucine,1.039869869,0.91394833,0.903263083,0.990082534,0.916608073,0.845848438,1.016983923,0.630590964,0.893712696
Threitol,1.005710195,1.151200429,0.870858488,0.98149577,1.175133602,0.797497841,1.018610807,0.737945711,0.937155021
Kynurenine,0.427823715,1.121452324,0.537504295,0.440267286,0.986243229,0.471574632,0.2438296,1.182056105,0.595806907
Lactic acid,1.251783975,1.139152027,0.835547897,1.349275217,1.238232317,0.737324572,0.898622114,0.839832988,1.100520721
Lactobionic acid,0.994912055,1.062504262,0.805641312,0.969802491,1.02125701,0.81344219,1.042528126,1.093033827,0.751496997
Lauric acid,0.757982534,0.968801314,1.0261232,0.755167342,0.991490314,1.026419164,0.899039036,0.908152936,1.074762447
Leucine,1.018266612,0.938471124,0.927470612,0.985057357,0.949691212,0.8632287,0.963795632,0.617963379,0.940296951
Glucosan,0.94799994,0.893267756,0.824648854,0.884856572,0.877913338,0.689394013,1.220253673,0.814475842,1.0673545
Linoleic acid,0.797379378,1.046593027,1.075259442,0.718417751,1.011171005,1.0121039,1.062694458,1.04319394,1.146004697
alpha-Linolenic acid,0.907134514,1.286245989,0.93906238,0.907616806,1.114050425,0.765036381,0.479684251,1.692632983,1.2011263
Lysine,0.964619231,0.930271443,0.983635675,0.970705338,0.959211491,0.899698356,0.90583733,0.759086606,1.130294863
Lyxose,0.727411223,0.993127503,0.786448856,0.695247153,1.019964152,0.849286152,0.917382876,0.890190434,0.671673112
Malic acid,0.871683744,1.014758264,0.881759938,0.873633094,0.957244604,0.882010125,0.684437569,1.063816634,0.806896361
Methanolphosphate,0.808043104,0.972486026,0.867336142,0.775963255,0.856884241,0.878212253,0.771678491,1.113857281,0.725029767
Methionine,0.898250352,0.942658261,0.778171624,0.862463689,0.943342191,0.738221907,0.952200166,0.800165255,0.807166812
Methionine sulfoxide,0.929708505,1.055670911,0.925073206,0.902633004,1.031820702,0.908422705,1.017705607,1.007783334,0.919362564
Methionine sulfoxide,1.001820487,0.933736269,0.953291091,0.969060829,0.928569755,0.993585391,1.109686573,0.917918077,0.844695106
Myristic acid,0.812250051,0.940934159,1.06044458,0.805065189,0.973725143,1.058756236,0.983941078,0.811745077,1.099871365
N-Methylalanine,0.998367925,0.902573929,0.931582891,0.968350691,0.883614466,0.89182561,1.018455423,0.739467369,0.917784754
Nicotinic acid,3.625702047,1.241334479,2.188849567,3.775685324,1.154221292,1.367560661,0.142189264,0.6155702,3.350309241
Oleic acid,0.841177403,0.957157637,1.055257147,0.793894381,0.913879964,0.979819754,0.9983343,0.975099198,1.155030156
Ornithine,1.02801213,1.046349826,1.032108064,1.029570948,1.085123854,1.035123043,1.008872703,0.776515847,0.983562295
Oxalic acid,0.348948287,1.562836631,1.39477459,0.298230911,1.500056381,1.539129227,0.283672365,0.493960445,0.404762089
Pyroglutamic acid,0.956751302,1.021894201,0.99086212,0.950070911,1.044448934,1.007018057,0.947380216,0.785043205,0.902312225
Phosphoric acid,0.575662292,0.720068248,0.574588121,0.446359162,0.648655817,0.553641477,1.061467838,0.701747292,0.514308801
Palmitic acid,0.877849816,0.924297051,1.009326261,0.86380792,0.951458277,0.989473843,0.982477708,0.776194212,1.043375545
Palmitoleic acid,0.71996935,0.784293515,0.993001082,0.746017376,0.815996901,1.053027456,0.925652913,0.875240634,1.050082617
Palmitoleic acid,1.056231841,1.005437509,1.096330337,0.998638623,0.976688165,1.165988031,1.24832149,1.070785972,0.915637597
Acetaminophen,0.719897982,0.763685503,0.482679525,0.975587476,0.979594693,0.55904824,0.564132101,0.617129588,0.560557474
Pelargonic acid,1.009414597,0.996844627,1.008406777,0.998787115,1.030138073,1.042117558,1.174220867,0.888043195,0.964787298
Phenylalanine,1.036897908,0.991019465,1.00223697,1.008181419,0.993867802,0.931516189,1.063174915,0.816795527,1.078458146
Phosphoric acid,0.922218705,0.976929827,0.965548591,0.917019648,0.927322994,0.97811319,0.84787891,1.192373304,0.933751698
Pipecolic acid,2.0346502,1.38773332,2.404858804,2.347808324,1.583082428,2.712501,0.665441283,0.447254837,1.654113749
Proline,1.033770742,1.01165494,0.994040506,1.052652819,1.093214163,0.951712909,0.994734839,0.562775984,1.045533925
Pseudouridine,1.059671688,1.081221576,1.014928564,1.040009821,1.114880562,1.035298967,1.04964218,0.889876772,0.92971033
Pyrrole-2-carboxylic acid,0.8950978,0.956237622,0.873165744,0.839416283,0.935072987,0.879450993,1.085940425,0.902925857,0.80855313
Pyruvic acid,1.40517981,0.925448519,0.92693199,1.446696406,1.104665222,0.78576452,1.401877395,0.223261478,1.242489926
Quinic acid,0.929440685,1.065590432,1.051077596,0.84321872,1.083788219,0.97920417,1.225115519,0.893990665,1.146737277
Rhamnose,1.014752303,1.116064413,1.039398194,1.015413031,1.118327485,1.040751227,0.927468479,0.924697564,0.968862078
Ribonic acid,0.658199742,1.02305141,0.657388804,0.637462062,0.945645634,0.597103381,0.438329719,1.086153482,0.696159243
Salicylic acid,1.155443518,0.327836429,1.246552583,1.508730272,0.262713074,1.817341794,0.028273368,0.552050527,0.240578516
Serine,1.006433772,1.003340287,0.970720993,0.982063804,0.957605165,0.941684145,1.032440379,1.063865087,0.983473058
Stearic acid,0.97577782,0.906036815,0.999198613,0.948515932,0.948240857,1.022317791,1.163094352,0.736826606,0.953093362
Succinic acid,1.19155414,1.128388413,0.894209245,1.266560124,1.118755221,0.872677418,0.884113083,1.282545332,0.972099039
Sucrose,1.12455091,1.018552943,0.861792646,1.139388182,0.906914859,0.827440978,1.08292969,1.433681547,0.942536617
Trichilin A,0.658705916,1.411479289,0.808483511,0.596669748,1.186059622,0.875451625,0.697618293,1.996700741,0.590562065
Fructose,1.144483064,1.068441959,1.033428682,1.096379375,1.046327273,1.050223998,1.183148032,0.914457189,0.886320044
Taurine,0.814587746,1.522556448,1.01808939,0.824355558,1.529502155,1.094978363,0.740352406,1.484065723,0.877256265
Threitol,1.015302979,1.085979438,0.922281581,1.011259679,1.19164534,1.064820449,1.211445555,0.661436599,0.647929603
D-Threonic acid,0.684855589,1.479016953,0.706862599,0.703593313,1.433322762,0.534932034,0.59483276,1.490758927,1.059167809
Threonine,0.920997433,0.994820022,0.954614579,0.889489455,1.010480634,0.932097643,1.009776596,0.919422804,0.984806328
Retinal,0.949563186,1.076584942,0.942793848,0.869187953,1.055650639,0.880554106,0.907133562,1.388452523,1.058858888
Tryptophan,0.951406241,0.966981126,0.88785545,0.9370148,1.003719054,0.862984268,0.998883671,0.712256838,0.901268883
Tyrosine,1.011730933,0.958627599,0.919540366,0.98739893,0.992174823,0.849790849,1.079107238,0.675876376,1.009635113
Urea,1.119655659,1.02346858,0.958080169,1.082139896,0.998182744,0.951656356,1.175269122,0.944737997,0.897136997
Uric acid,1.315969677,1.174709293,1.113908639,1.268359662,1.210444497,1.11835585,1.221741746,0.719313574,0.945173614
Uridine,0.972423179,1.127322446,0.983496451,0.962498319,1.114356382,0.978849588,1.135927961,0.992526818,0.971916972
Valine,1.053756359,0.943259662,0.955396283,1.036169136,0.945395268,0.892314121,0.9837676,0.725703634,0.994673482
Xanthine,0.912203394,1.081456841,1.016104763,0.89682325,1.071516612,1.045742764,0.942315971,1.026868525,0.923745217
Xylitol,0.85644641,1.537568888,0.827057644,0.901228352,1.700570661,0.715260596,0.7130329,0.919586082,1.074120074
Xylose,0.828918249,0.939816312,1.020178097,0.830148298,0.953282659,0.79234908,0.828394115,0.782644686,1.468785321
