,Day 90 vs Baseline
refmet_name,ratio
Coprocholic acid,0.365526676
alpha-Muricholic acid,0.869068615
beta-Muricholic acid,0.880901561
beta-Muricholic acid,1.058591182
Cholic acid,0.670862597
Hyocholic acid,1.205351969
Glycocholic acid,0.651666499
Glycochenodeoxycholic acid,0.8091602
Glycodeoxycholic acid,0.928203457
Glycohyodeoxycholic acid,NA
Glycoursodeoxycholic acid,0.680440771
Hyodeoxycholic acid,1.195162649
Tauromuricholic acid,0.138056688
Taurochenodeoxycholic acid,0.569584736
Taurocholic acid,0.090194672
Taurodeoxycholic acid,2.59508019
Taurolithocholic acid,1.450825083
Tauroursodeoxycholic acid,0.846774194
Ursodeoxycholic acid,2.47097744
omega-Muricholic acid,0.826105314
